protein,anchor_pos,alpha_full,r50_first_crossing,jump_from_r,jump_to_r,jump_delta,selected_radius,selection_method,jump_threshold,alpha_norm_at_max_r
3FF9A,29,1.494802474975586,0,14,15,0.5615388926441898,15,first_delta_ge_threshold,0.4,1.0032738638292116
3ZSJA,87,1.4782747030258179,0,20,21,0.6002983549191346,21,first_delta_ge_threshold,0.4,0.9992833450007165
2D2EA,166,1.6752840280532837,0,31,32,0.5443182975302386,32,first_delta_ge_threshold,0.4,0.9482224852367426
3C8MA,89,1.742419719696045,0,45,46,0.5834139330164124,46,first_delta_ge_threshold,0.4,1.0573502806011517
3EYEA,8,1.3225789070129395,0,42,43,0.24127929461108813,43,argmax_delta_fallback,0.4,0.9253599680420991
2YC3A,102,1.6255570650100708,0,28,29,0.4201131920487005,29,first_delta_ge_threshold,0.4,0.989455609977031
2OZEA,158,1.8124850988388062,0,38,39,0.41411833613770693,39,first_delta_ge_threshold,0.4,0.9921767808386444
4K8WA,42,1.3242460489273071,0,19,20,0.3526090551079386,20,argmax_delta_fallback,0.4,0.992659188423796
3LWXA,101,1.3351637125015259,0,23,24,0.20382864616280205,24,argmax_delta_fallback,0.4,0.9416611273137494
1G3QA,115,1.581863522529602,0,28,29,0.4934014753836824,29,first_delta_ge_threshold,0.4,0.9944032363216074
3NY7A,50,1.5389217138290405,0,25,26,0.6661654673865446,26,first_delta_ge_threshold,0.4,1.0
1S3CA,5,1.267337679862976,0,40,41,0.2006478761238502,41,argmax_delta_fallback,0.4,1.1016763019862577
2CZQA,80,1.5904918909072876,0,29,30,0.34463501274601516,30,argmax_delta_fallback,0.4,0.9879551908696237
3JRNA,66,1.718504786491394,0,20,21,0.6709496944442382,21,first_delta_ge_threshold,0.4,0.9812840896171113
4TL6A,142,1.7154136896133423,43,36,37,0.2448939955106115,37,argmax_delta_fallback,0.4,0.9795295085807557
4RVCA,157,1.8462141752243042,0,28,29,0.5331302684345045,29,first_delta_ge_threshold,0.4,0.9760018084650343
3FZ4A,6,1.3266106843948364,27,22,23,0.3342811077712131,23,argmax_delta_fallback,0.4,0.9848663111743566
4LBHA,63,1.635029673576355,11,10,11,0.32542601236560675,11,argmax_delta_fallback,0.4,1.0
3GX8A,19,1.5398067235946655,15,14,15,0.6400851171165383,15,first_delta_ge_threshold,0.4,0.9986812558958909
4I8HA,119,1.257751703262329,0,26,27,0.4069874509823249,27,first_delta_ge_threshold,0.4,0.9940449934251344
2PJZA,151,1.605356216430664,0,33,34,0.4045879006474041,34,first_delta_ge_threshold,0.4,0.900849086755007
5AJGA,174,1.8451584577560425,0,50,51,0.11949049221197328,51,argmax_delta_fallback,0.4,0.8123023888071509
2WAWA,100,1.607405424118042,0,32,33,0.5971745485762496,33,first_delta_ge_threshold,0.4,0.9507539142624527
4MUOA,83,1.810802936553955,0,49,50,0.20297083313912806,50,argmax_delta_fallback,0.4,0.9655258722184873
3L51A,46,1.2568442821502686,0,25,26,0.2542615487518275,26,argmax_delta_fallback,0.4,0.9571757992422396
1HDKA,89,1.390910029411316,0,18,19,0.7230783200841907,19,first_delta_ge_threshold,0.4,1.0019324981515365
4WBJA,34,1.6243138313293457,0,19,20,0.4424967407255625,20,first_delta_ge_threshold,0.4,0.9775885801951778
1CUKA,81,1.5510141849517822,0,26,27,0.2627596678925666,27,argmax_delta_fallback,0.4,1.0251524689009557
3PU9A,50,1.6892298460006714,0,42,43,0.22526222475239915,43,argmax_delta_fallback,0.4,0.9461906452565145
4XRAA,34,1.6129810810089111,0,24,25,0.23971225806623267,25,argmax_delta_fallback,0.4,0.900248221336629
3BPKA,137,1.2843669652938843,0,33,34,0.3890115269781069,34,argmax_delta_fallback,0.4,1.0054430780028794
3H5JA,94,1.4209011793136597,0,24,25,0.5528697668327295,25,first_delta_ge_threshold,0.4,1.011661257969477
3HMZA,134,1.2223596572875977,0,30,31,0.37362031709703314,31,argmax_delta_fallback,0.4,0.9018825624913691
1MWQA,69,1.5641570091247559,14,12,13,0.7031301491490805,13,first_delta_ge_threshold,0.4,1.0
5AUNB,129,1.556307315826416,0,35,36,0.37652555461970405,36,argmax_delta_fallback,0.4,1.0318871669424687
1TJLA,113,1.5172148942947388,1,20,21,0.7168192372338217,21,first_delta_ge_threshold,0.4,0.9944793566532972
2EI9A,123,1.5532912015914917,0,34,35,0.2765160532837,35,argmax_delta_fallback,0.4,0.9607840428563392
3G8KA,34,1.4246100187301636,0,16,17,0.5689665888316761,17,first_delta_ge_threshold,0.4,1.00647521295143
2XZ8A,73,1.6867917776107788,0,19,20,0.3017275819824047,20,argmax_delta_fallback,0.4,1.0
4QTTB,113,1.7253718376159668,34,33,34,0.20408978691216229,34,argmax_delta_fallback,0.4,0.9979664168946931
2O0QA,37,1.3934800624847412,21,19,20,0.32604098638265677,20,argmax_delta_fallback,0.4,1.0
3M9ZA,33,1.4208985567092896,0,18,19,0.442877988593516,19,first_delta_ge_threshold,0.4,0.9822205233988635
1VL5A,106,1.647219181060791,0,31,32,0.8920847350200567,32,first_delta_ge_threshold,0.4,0.9897278713457842
1DJ0A,187,1.5017603635787964,0,32,33,0.29510668195308043,33,argmax_delta_fallback,0.4,1.0303413827261354
4UNUA,90,1.4357651472091675,0,12,13,0.2969865006607816,13,argmax_delta_fallback,0.4,0.9841117675244525
4B8EA,144,1.514177918434143,0,29,30,0.2291190079079063,30,argmax_delta_fallback,0.4,0.9891622831171377
3GIWA,163,1.642568826675415,0,42,43,0.6002669777033901,43,first_delta_ge_threshold,0.4,0.9731531607898647
1K5NB,25,1.2398419380187988,0,15,16,0.7485386346950179,16,first_delta_ge_threshold,0.4,1.0
4Q27A,88,1.4209156036376953,0,20,21,0.5773503872308781,21,first_delta_ge_threshold,0.4,1.0046879467467773
1LKKA,29,1.339063048362732,0,14,15,0.7352135361606,15,first_delta_ge_threshold,0.4,1.0
3E4VA,123,1.2280336618423462,0,28,29,0.18658317901104238,29,argmax_delta_fallback,0.4,0.9541712060572191
3HY3A,132,1.5869147777557373,0,25,26,0.36858580893067505,26,argmax_delta_fallback,0.4,0.9714550909907943
5C04A,34,1.6058473587036133,0,20,21,0.49885229737987813,21,first_delta_ge_threshold,0.4,0.9348348697897025
5F6LB,109,1.4592630863189697,0,26,27,0.46140125842381613,27,first_delta_ge_threshold,0.4,0.9821479716099404
2E6MA,98,1.6065893173217773,0,25,26,0.3431663224765542,26,argmax_delta_fallback,0.4,1.0067735901808763
4WHSA,127,1.7164759635925293,0,35,36,0.22941030891090977,36,argmax_delta_fallback,0.4,1.0124662785429164
1VI3A,119,1.5994114875793457,0,21,22,0.23010339397455554,22,argmax_delta_fallback,0.4,0.9961107074723131
3FD3A,147,1.3916414976119995,0,30,31,0.3378813356421806,31,argmax_delta_fallback,0.4,0.9552986203880697
1FJ2A,26,1.3476239442825317,0,31,32,0.15050384457723692,32,argmax_delta_fallback,0.4,0.9113983586810748
2R6VA,131,1.2801485061645508,0,21,22,0.2549628911298929,22,argmax_delta_fallback,0.4,1.0006376957133587
2R0XA,117,1.2711423635482788,0,21,22,0.39325492597613365,22,argmax_delta_fallback,0.4,1.014931377932246
4FOJA,169,1.5865367650985718,0,42,43,0.5789320684342394,43,first_delta_ge_threshold,0.4,0.9671737608889133
5HYZA,204,1.5418436527252197,0,50,51,0.6185507816190634,51,first_delta_ge_threshold,0.4,1.0245843449496603
2XW7A,111,1.590480089187622,0,30,31,0.29826076678353647,31,argmax_delta_fallback,0.4,0.9838778753932906
2ICUA,108,1.5725584030151367,0,31,32,0.46027993073003554,32,first_delta_ge_threshold,0.4,0.9802301862946474
2XHFA,46,1.7927896976470947,0,28,29,0.7715300076268318,29,first_delta_ge_threshold,0.4,0.9624125524220012
3S4YA,127,1.695378065109253,0,29,30,0.46565326678039776,30,first_delta_ge_threshold,0.4,1.0107916248941242
2QSXA,158,1.3968605995178223,36,35,36,0.5410852171404393,36,first_delta_ge_threshold,0.4,1.020540436378557
3JTWA,112,1.5503578186035156,0,22,23,0.5078786651087429,23,first_delta_ge_threshold,0.4,0.9833463843786062
3L8DA,119,1.6000897884368896,0,30,31,0.439858786639713,30,first_delta_ge_threshold,0.4,0.9628667510124398
3VPBA,248,1.4488779306411743,49,44,45,0.12435300474269152,45,argmax_delta_fallback,0.4,0.9209681136416126
1WKOA,127,1.4466859102249146,0,26,27,0.2611222641728964,27,argmax_delta_fallback,0.4,0.995055160068891
4LQ4A,104,1.633335828781128,0,32,33,0.34679650582049415,33,argmax_delta_fallback,0.4,0.9897344901774372
2A35A,146,1.4712926149368286,32,33,34,0.31598674034080265,34,argmax_delta_fallback,0.4,1.011198259096489
3JU3A,67,1.2596745491027832,0,20,21,0.32405594972080787,21,argmax_delta_fallback,0.4,1.0
2XWLA,97,1.5970101356506348,0,31,32,0.40647934766284094,32,first_delta_ge_threshold,0.4,0.9939631365713267
1D4TA,28,1.3546984195709229,15,14,15,0.5026212302779101,14,first_delta_ge_threshold,0.4,1.0
4O59O,91,1.511483073234558,0,44,45,0.34694324911771124,45,argmax_delta_fallback,0.4,1.0450751815625527
2ANRA,23,1.4340540170669556,0,21,22,0.7061438872585283,22,first_delta_ge_threshold,0.4,0.9827282719950935
3UPSA,53,1.3974567651748657,0,18,19,0.40833589388876324,19,first_delta_ge_threshold,0.4,0.9957340947495363
1YOAA,117,1.2354158163070679,0,25,26,0.2724514708900605,26,argmax_delta_fallback,0.4,0.9789316633825188
2VOKA,129,1.515343427658081,0,24,25,0.3296866049037645,25,argmax_delta_fallback,0.4,0.9869440736988561
5IVNA,95,1.4411860704421997,0,14,15,0.5282698914640709,15,first_delta_ge_threshold,0.4,0.978573304454386
1GSAA,279,1.4494212865829468,0,57,58,0.17305482232132377,58,argmax_delta_fallback,0.4,0.8726621023903439
1WKCA,106,1.5018956661224365,0,23,24,0.6144582339258282,23,first_delta_ge_threshold,0.4,0.9866632684632062
4X4WA,52,1.6979072093963623,0,48,49,0.26573414292893716,49,argmax_delta_fallback,0.4,1.0001406999245528
2C6UA,30,1.3231043815612793,0,15,16,0.5269053027190548,16,first_delta_ge_threshold,0.4,0.9947427715135521
1PKOA,101,1.2171982526779175,0,15,16,0.4452038514096969,16,first_delta_ge_threshold,0.4,1.0090096575137266
4L05A,124,1.3108642101287842,0,24,25,0.9130979292538254,25,first_delta_ge_threshold,0.4,1.0031986137915518
2Y8GA,41,1.3343638181686401,0,27,28,0.2769019038357683,28,argmax_delta_fallback,0.4,1.0024839515591923
3HJHA,43,1.2859008312225342,0,64,65,0.07411258479947656,65,argmax_delta_fallback,0.4,-0.19107547679513276
1GQEA,151,1.3626642227172852,0,47,48,0.6017710309709089,48,first_delta_ge_threshold,0.4,1.0489286191690281
4B62A,78,1.6693332195281982,0,21,22,0.3592993687167857,22,argmax_delta_fallback,0.4,1.0
1OO0B,72,1.2333773374557495,0,11,12,1.0811671613595135,12,first_delta_ge_threshold,0.4,1.0
2JDIH,47,1.4545013904571533,0,21,22,0.4549511639880596,22,first_delta_ge_threshold,0.4,0.9754892165895899
2B78A,216,1.5587799549102783,0,51,52,0.5982540218357396,52,first_delta_ge_threshold,0.4,0.921538966750826
2A4VA,39,1.5015791654586792,0,24,25,0.5829454240772922,25,first_delta_ge_threshold,0.4,0.9429148996928349
2YVQA,52,1.1304622888565063,0,19,20,0.6587227756391565,20,first_delta_ge_threshold,0.4,0.9622492026525348
3HMCA,89,1.581290602684021,0,32,33,0.3097558302117321,33,argmax_delta_fallback,0.4,0.9737624169542505
5IJAA,5,1.1989201307296753,0,36,37,0.4198666193841252,37,first_delta_ge_threshold,0.4,0.9780884894122869
4H0CA,154,1.2022260427474976,0,33,34,0.34305463270561243,34,argmax_delta_fallback,0.4,1.0080799182707234
2C8MA,138,1.633615493774414,0,50,51,0.20178897981283966,51,argmax_delta_fallback,0.4,0.9951793522361746
4YZGA,33,1.5282323360443115,0,37,38,0.15794747468396791,38,argmax_delta_fallback,0.4,1.0594097759533694
1D2SA,90,1.3410812616348267,0,24,25,0.28519776565016014,25,argmax_delta_fallback,0.4,1.0033172130539152
3ERSX,18,1.2900501489639282,0,14,15,0.36150174764189624,15,argmax_delta_fallback,0.4,1.0133951842243265
2XJ4A,107,1.7761560678482056,0,37,38,0.34354047712547225,38,argmax_delta_fallback,0.4,0.9723041956439142
4YDRA,68,1.7241476774215698,0,45,46,0.21138076023153662,46,argmax_delta_fallback,0.4,1.051550490316838
3LOGA,405,1.0909806489944458,0,17,18,0.07664278450304196,18,argmax_delta_fallback,0.4,-0.32262586008951893
2B0AA,122,1.2017698287963867,0,33,34,0.22289234906721195,34,argmax_delta_fallback,0.4,1.00167986353973
1M6YA,240,1.6455883979797363,0,34,35,0.2361524351001681,35,argmax_delta_fallback,0.4,1.0207554282770253
3DUWA,62,1.5015124082565308,0,30,31,0.3582239320257814,31,argmax_delta_fallback,0.4,0.9931264086765544
4MDXA,29,1.285110354423523,0,17,18,0.27159365052154916,18,argmax_delta_fallback,0.4,0.9719040875256846
5HEEA,168,1.5558141469955444,0,34,35,0.2645582867823937,35,argmax_delta_fallback,0.4,0.9913821156276686
4V03A,118,1.583886742591858,0,30,31,0.563436445954403,31,first_delta_ge_threshold,0.4,0.9375842060481214
2I5IA,126,1.3986103534698486,0,31,32,0.42224215386049935,32,first_delta_ge_threshold,0.4,0.9710406077395628
3A27A,123,1.4921059608459473,0,31,32,0.5408954099054287,32,first_delta_ge_threshold,0.4,0.9853399764091023
1QWOA,332,1.5848231315612793,0,68,69,0.2648104736860316,69,argmax_delta_fallback,0.4,0.9667556260276837
3HNYM,136,1.2235321998596191,0,18,19,0.13804611653441456,19,argmax_delta_fallback,0.4,1.012675311475397
3BKWA,110,1.4593676328659058,0,29,30,0.49025178599391295,30,first_delta_ge_threshold,0.4,0.9715204863755398
1TMXA,223,1.7235350608825684,0,43,44,0.3081788981370945,44,argmax_delta_fallback,0.4,1.0203348167043158
4KAVA,27,1.4389480352401733,0,76,77,0.13418985415264695,77,argmax_delta_fallback,0.4,0.44462147446919503
1KHYA,33,0.8899358510971069,0,22,23,0.35893809450709635,23,argmax_delta_fallback,0.4,1.0444864207483051
4DQNA,224,1.586654543876648,0,45,46,0.8238788128042726,46,first_delta_ge_threshold,0.4,1.0005991815217978
4P82A,103,1.4140803813934326,0,22,23,0.4049150150992661,23,first_delta_ge_threshold,0.4,0.9892206027128604
1E5KA,96,1.5183141231536865,0,25,26,0.9074357270599822,26,first_delta_ge_threshold,0.4,0.977618336279973
4LFLB,60,1.390478253364563,0,23,24,0.32881653373401315,24,argmax_delta_fallback,0.4,0.9814361527607134
1COJA,109,1.4732643365859985,0,35,36,0.20461561365949982,36,argmax_delta_fallback,0.4,1.0005318547668323
2YZSA,37,1.4192456007003784,0,39,40,0.2463086373141142,40,argmax_delta_fallback,0.4,0.999041199042963
2R7DA,121,1.3181520700454712,0,73,74,0.15415028368628206,74,argmax_delta_fallback,0.4,0.713488159714061
3NCEB,181,1.408214807510376,0,25,26,0.6177644946288662,26,first_delta_ge_threshold,0.4,0.8907174170203883
2NYUA,26,1.2756521701812744,0,25,26,0.24704948983015146,26,argmax_delta_fallback,0.4,0.9869793754682997
3UJCA,123,1.6310908794403076,0,32,33,0.28123708211651866,33,argmax_delta_fallback,0.4,0.9922317293621921
2JD4A,107,1.4180598258972168,0,49,50,0.46652438794749096,50,first_delta_ge_threshold,0.4,1.0515664347703864
1Y6ZA,100,0.5648249387741089,0,32,33,0.3428469669772345,33,argmax_delta_fallback,0.4,0.8206187296793331
5AOGA,103,1.3665690422058105,51,48,49,0.3093863980218451,49,argmax_delta_fallback,0.4,0.9903116051031734
1PZ7A,113,1.4362014532089233,0,36,37,0.37801786079055055,37,argmax_delta_fallback,0.4,1.0040044054768487
5J49A,136,1.7246735095977783,0,40,41,0.24115523616201986,41,argmax_delta_fallback,0.4,0.9189342261783391
3GNLA,93,1.4825654029846191,0,35,36,0.4832413505716165,36,first_delta_ge_threshold,0.4,0.9882504627448205
3ME7A,32,1.516930103302002,0,24,25,0.7149190757954541,25,first_delta_ge_threshold,0.4,0.9265788610893952
2YXHA,54,1.3929978609085083,0,15,16,0.3215130287909276,16,argmax_delta_fallback,0.4,1.0
3D3BA,108,1.2173839807510376,19,18,19,0.5729940060655159,19,first_delta_ge_threshold,0.4,0.9875626667314261
2NWFA,102,1.1825953722000122,0,18,19,0.3335746664752751,19,argmax_delta_fallback,0.4,0.9911828529073985
5CTAA,71,1.6078122854232788,0,20,21,0.6387543210071513,21,first_delta_ge_threshold,0.4,1.000178167517059
4JD0A,112,1.498286485671997,0,43,44,0.2602178550918174,44,argmax_delta_fallback,0.4,0.9464851043136441
1F2TB,86,1.423736333847046,0,18,19,0.583868151041357,19,first_delta_ge_threshold,0.4,1.0004243430929454
1NNLA,17,1.1761829853057861,0,40,41,0.18969359490633897,41,argmax_delta_fallback,0.4,0.9625460318502802
5EMIA,8,1.24876070022583,0,37,38,0.16858646868977537,38,argmax_delta_fallback,0.4,1.0294047061276344
1T6EX,236,1.299910545349121,0,50,51,0.1279796119745718,51,argmax_delta_fallback,0.4,0.8193931095957243
1DPGA,113,1.8713221549987793,0,60,61,0.7133655709963722,61,first_delta_ge_threshold,0.4,0.9077404408824988
4EGUA,102,1.2748454809188843,17,13,14,0.36854790349030064,14,argmax_delta_fallback,0.4,0.9512706866043668
1KR4A,74,1.4274572134017944,21,20,21,0.7746230096775791,21,first_delta_ge_threshold,0.4,1.0
4HYQA,75,1.1690593957901,0,40,41,0.15310028846366613,41,argmax_delta_fallback,0.4,0.9900830863868583
1FP2A,249,1.7538355588912964,0,44,45,0.45349134146067094,45,first_delta_ge_threshold,0.4,0.9795710904370164
2WNPF,78,1.5370497703552246,0,27,28,0.5406699919061297,27,first_delta_ge_threshold,0.4,1.0174326113170857
4LWRA,94,1.4096999168395996,0,31,32,0.18605662631855774,32,argmax_delta_fallback,0.4,0.9796465580080876
4QDJA,130,1.6901881694793701,0,31,32,0.23090576771898175,32,argmax_delta_fallback,0.4,1.0010958980630011
3C5VA,246,1.4550518989562988,0,40,41,0.8374909981762858,41,first_delta_ge_threshold,0.4,1.0569284753388946
4TKZA,59,1.3511494398117065,0,21,22,0.42287651389419845,22,first_delta_ge_threshold,0.4,1.004426401610762
2P35A,98,1.5092841386795044,0,36,37,0.25495445861882426,37,argmax_delta_fallback,0.4,1.0551413327743373
1VE4A,150,1.4063423871994019,0,34,35,0.5334134455430521,35,first_delta_ge_threshold,0.4,1.030511758879502
2H1CA,117,1.2248152494430542,0,17,18,0.7160460441121438,18,first_delta_ge_threshold,0.4,1.0228228248687647
3RPPA,9,1.258849024772644,0,45,46,0.7187162967279044,46,first_delta_ge_threshold,0.4,0.9614322587964327
3OGPA,102,0.9807025194168091,0,11,12,0.1682591738466163,12,argmax_delta_fallback,0.4,0.9419712257447644
3GXHA,101,1.2751306295394897,0,18,19,0.49817034823589723,19,first_delta_ge_threshold,0.4,0.9799732082365461
3KB5A,137,1.3305473327636719,0,34,35,0.4058917800928913,35,first_delta_ge_threshold,0.4,1.0105684391978096
2OFKA,157,1.5551950931549072,0,21,22,0.80423620955077,22,first_delta_ge_threshold,0.4,1.011749112098018
1YB0A,54,1.2480067014694214,0,20,21,0.21329839825794894,21,argmax_delta_fallback,0.4,0.9645979922321428
4YL8A,223,1.3182146549224854,0,39,40,0.6345809758553682,40,first_delta_ge_threshold,0.4,0.9175342598552756
4ZFLA,113,1.3385776281356812,0,48,49,0.20018741645926103,49,argmax_delta_fallback,0.4,0.9898934908734262
4GLQA,33,1.5109717845916748,0,22,23,0.2086706234541359,23,argmax_delta_fallback,0.4,0.981111720361816
2F4WA,64,1.3772130012512207,0,22,23,0.3547521239255944,23,argmax_delta_fallback,0.4,0.9904800526274788
3OAMA,95,1.6562563180923462,41,39,40,0.28798241791144685,40,argmax_delta_fallback,0.4,0.9633857396363887
1OPCA,55,1.4288768768310547,0,19,20,0.47623854649579583,20,first_delta_ge_threshold,0.4,1.0
4E2XA,174,1.8947432041168213,0,53,54,0.28607362089504274,54,argmax_delta_fallback,0.4,0.874520408565156
3PVEA,100,1.3778562545776367,0,33,34,0.4149394512824382,34,first_delta_ge_threshold,0.4,1.0067569648674857
3DHNA,159,1.5328865051269531,0,37,38,0.726368080372141,38,first_delta_ge_threshold,0.4,1.0881777001620059
4GWBA,53,1.2556266784667969,0,20,21,0.39497851268779144,21,argmax_delta_fallback,0.4,0.9728607153164922
3HO7A,158,1.2215360403060913,0,30,31,0.30156984804411285,31,argmax_delta_fallback,0.4,1.0020312312292383
4JISA,110,1.618414044380188,0,35,36,0.6194431277037584,36,first_delta_ge_threshold,0.4,0.9957196546525655
3MB5A,97,1.4142581224441528,0,32,33,0.5360742792041273,33,first_delta_ge_threshold,0.4,0.9862650277229019
