protein,k,actual_k,M_score,M_score_frac,M_attn,M_attn_frac,score_rank,attn_rank
3UJCA,200,200,-2.462258,-0.3021,0.079117,0.0822,152,4
3UJCA,500,500,0.877548,0.1077,0.107630,0.1118,79,2
1YM3A,1,1,3.616958,0.4834,0.942302,1.0116,1,1
1YM3A,2,2,3.850449,0.5146,0.947197,1.0168,1,1
1YM3A,5,5,4.284275,0.5726,0.944530,1.0140,1,1
1YM3A,10,10,3.937908,0.5263,0.935308,1.0041,1,1
1YM3A,20,20,4.795514,0.6409,0.953231,1.0233,1,1
1YM3A,50,50,5.368601,0.7175,0.967442,1.0386,1,1
1YM3A,100,100,3.637966,0.4862,0.030975,0.0333,2,6
1YM3A,200,200,2.395420,0.3202,0.036653,0.0393,59,3
1YM3A,500,500,3.211722,0.4293,0.064486,0.0692,2,2
3S4YA,1,1,-0.484567,-0.0549,0.026441,0.0273,5,5
3S4YA,2,2,-0.222634,-0.0252,0.005741,0.0059,6,6
3S4YA,5,5,0.652706,0.0740,0.002880,0.0030,17,18
3S4YA,10,10,1.021570,0.1158,0.002741,0.0028,28,37
3S4YA,20,20,1.039456,0.1179,0.003291,0.0034,33,38
3S4YA,50,50,1.331897,0.1510,0.003292,0.0034,54,56
3S4YA,100,100,1.136300,0.1288,0.003389,0.0035,65,64
3S4YA,200,200,0.570341,0.0647,0.001732,0.0018,96,127
3S4YA,500,500,1.784263,0.2023,0.013535,0.0140,28,15
3L8DA,1,1,6.070636,0.7352,0.979988,1.0067,1,1
3L8DA,2,2,7.298865,0.8839,0.984222,1.0111,1,1
3L8DA,5,5,7.237387,0.8765,0.983165,1.0100,1,1
3L8DA,10,10,8.456685,1.0241,0.986748,1.0137,1,1
3L8DA,20,20,8.758750,1.0607,0.980216,1.0070,1,1
3L8DA,50,50,6.686135,0.8097,0.881701,0.9058,1,1
3L8DA,100,100,3.800796,0.4603,0.476601,0.4896,1,1
3L8DA,200,200,-1.728589,-0.2093,0.128971,0.1325,141,2
3L8DA,500,500,1.433150,0.1736,0.055303,0.0568,46,3
3VOTA,1,1,-10.213869,-1.1630,0.000487,0.0005,2,2
3VOTA,2,2,-9.800025,-1.1159,0.000770,0.0008,2,2
3VOTA,5,5,-7.804899,-0.8887,0.004542,0.0048,4,4
3VOTA,10,10,-5.965965,-0.6793,0.000590,0.0006,19,15
3VOTA,20,20,-5.066014,-0.5768,0.000313,0.0003,31,32
3VOTA,50,50,-3.181594,-0.3623,0.000567,0.0006,19,20
3VOTA,100,100,-2.883346,-0.3283,0.000199,0.0002,41,76
3VOTA,200,200,-1.288184,-0.1467,0.000479,0.0005,45,49
3VOTA,500,500,0.999976,0.1139,0.000714,0.0007,178,179
2JCBA,1,1,-0.957511,-0.1276,0.893477,0.9223,1,1
2JCBA,2,2,-0.807081,-0.1075,0.908874,0.9382,1,1
2JCBA,5,5,-0.187385,-0.0250,0.922088,0.9518,1,1
2JCBA,10,10,0.134588,0.0179,0.870572,0.8986,1,1
2JCBA,20,20,1.115139,0.1486,0.885578,0.9141,1,1
2JCBA,50,50,2.307675,0.3075,0.867124,0.8951,1,1
2JCBA,100,100,0.171520,0.0229,0.237299,0.2449,104,1
2JCBA,200,200,1.360758,0.1813,0.248098,0.2561,4,1
2JCBA,500,500,0.760181,0.1013,0.033077,0.0341,45,4
3NY7A,1,1,1.755200,0.2494,0.012394,0.0126,16,22
3NY7A,2,2,2.112923,0.3003,0.020776,0.0212,9,7
3NY7A,5,5,1.301805,0.1850,0.006951,0.0071,27,43
3NY7A,10,10,1.247182,0.1772,0.006148,0.0063,22,54
3NY7A,20,20,1.055683,0.1500,0.006782,0.0069,33,45
3NY7A,50,50,2.568196,0.3650,0.080618,0.0822,2,1
3NY7A,100,100,1.540328,0.2189,0.089843,0.0916,13,1
3NY7A,200,200,0.971095,0.1380,0.067710,0.0690,28,1
3NY7A,500,500,3.343738,0.4752,0.591125,0.6026,1,1
4RJ2A,1,1,0.436386,0.0606,0.995734,1.1055,1,1
4RJ2A,2,2,1.162583,0.1615,0.995626,1.1054,1,1
4RJ2A,5,5,0.980473,0.1362,0.995614,1.1054,1,1
4RJ2A,10,10,0.746505,0.1037,0.994067,1.1037,1,1
4RJ2A,20,20,1.038255,0.1443,0.991308,1.1006,1,1
4RJ2A,50,50,1.693542,0.2353,0.988587,1.0976,1,1
4RJ2A,100,100,1.320277,0.1834,0.263027,0.2920,69,1
4RJ2A,200,200,1.167896,0.1623,0.209484,0.2326,9,1
4RJ2A,500,500,1.620816,0.2252,0.030534,0.0339,3,8
3NRVA,1,1,1.367872,0.1891,0.446931,0.5783,1,1
3NRVA,2,2,0.375647,0.0519,0.268944,0.3480,1,1
3NRVA,5,5,0.883499,0.1221,0.173214,0.2241,2,1
3NRVA,10,10,0.844347,0.1167,0.039696,0.0514,6,4
3NRVA,20,20,0.364687,0.0504,0.092823,0.1201,1,2
3NRVA,50,50,1.135465,0.1570,0.130188,0.1685,2,2
3NRVA,100,100,1.694843,0.2343,0.095091,0.1230,2,3
3NRVA,200,200,2.922603,0.4041,0.203950,0.2639,1,1
3NRVA,500,500,2.909476,0.4022,0.134028,0.1734,3,1
4PEDA,1,1,-1.897477,-0.2022,0.782478,1.1891,1,1
4PEDA,2,2,-2.657807,-0.2832,0.265625,0.4037,3,2
4PEDA,5,5,0.314433,0.0335,0.269502,0.4096,1,1
4PEDA,10,10,1.144009,0.1219,0.216518,0.3290,1,1
4PEDA,20,20,2.353662,0.2508,0.234934,0.3570,2,2
4PEDA,50,50,3.947187,0.4206,0.401978,0.6109,1,1
4PEDA,100,100,4.911281,0.5233,0.776593,1.1802,1,1
4PEDA,200,200,-3.438342,-0.3663,0.065264,0.0992,242,3
4PEDA,500,500,-2.316969,-0.2469,0.056609,0.0860,255,5
2OB0A,1,1,0.260280,0.0341,0.037412,0.0438,5,5
2OB0A,2,2,0.384700,0.0505,0.044602,0.0522,5,5
2OB0A,5,5,2.250969,0.2953,0.195803,0.2291,1,1
2OB0A,10,10,3.101229,0.4068,0.361663,0.4231,1,1
2OB0A,20,20,2.805303,0.3680,0.197396,0.2310,1,1
2OB0A,50,50,2.460944,0.3228,0.099747,0.1167,2,1
2OB0A,100,100,1.943865,0.2550,0.048303,0.0565,5,2
2OB0A,200,200,1.120276,0.1470,0.007102,0.0083,123,28
2OB0A,500,500,1.140977,0.1497,0.008353,0.0098,81,29
2CZQA,1,1,-3.946691,-0.4967,0.001020,0.0010,33,34
2CZQA,2,2,-3.534491,-0.4448,0.001016,0.0010,30,29
2CZQA,5,5,-0.524539,-0.0660,0.001859,0.0019,51,56
2CZQA,10,10,0.363706,0.0458,0.001958,0.0020,49,64
2CZQA,20,20,0.865301,0.1089,0.002231,0.0023,72,125
2CZQA,50,50,1.557520,0.1960,0.005940,0.0060,37,29
2CZQA,100,100,-0.847501,-0.1067,0.000612,0.0006,141,153
2CZQA,200,200,-1.483920,-0.1868,0.000885,0.0009,132,147
2CZQA,500,500,0.896031,0.1128,0.005227,0.0053,53,49
2EI9A,1,1,1.376695,0.1696,0.001010,0.0012,56,171
2EI9A,2,2,1.249246,0.1539,0.000936,0.0011,79,199
2EI9A,5,5,1.701007,0.2096,0.001714,0.0020,83,168
2EI9A,10,10,1.102244,0.1358,0.001121,0.0013,97,213
2EI9A,20,20,1.098652,0.1354,0.001689,0.0019,95,169
2EI9A,50,50,2.087762,0.2573,0.003508,0.0040,67,56
2EI9A,100,100,1.939822,0.2390,0.006690,0.0077,59,26
2EI9A,200,200,1.346602,0.1659,0.011192,0.0128,41,11
2EI9A,500,500,2.754321,0.3394,0.025783,0.0295,2,5
3HMCA,1,1,-4.177351,-0.5451,0.007886,0.0097,46,15
3HMCA,2,2,-2.955487,-0.3856,0.005456,0.0067,49,19
3HMCA,5,5,-1.241731,-0.1620,0.003281,0.0040,36,21
3HMCA,10,10,-0.644455,-0.0841,0.003103,0.0038,53,29
3HMCA,20,20,1.609991,0.2101,0.001033,0.0013,34,118
3HMCA,50,50,2.440346,0.3184,0.000607,0.0007,35,175
3HMCA,100,100,2.426548,0.3166,0.000824,0.0010,49,174
3HMCA,200,200,0.093568,0.0122,0.000423,0.0005,106,182
3HMCA,500,500,1.343118,0.1752,0.001650,0.0020,67,118
4LJRA,1,1,-3.603683,-0.5291,0.004608,0.0068,51,23
4LJRA,2,2,-2.653713,-0.3896,0.005715,0.0085,62,29
4LJRA,5,5,-1.765484,-0.2592,0.009942,0.0148,67,19
4LJRA,10,10,-1.779665,-0.2613,0.005850,0.0087,62,27
4LJRA,20,20,-1.375806,-0.2020,0.001936,0.0029,49,48
4LJRA,50,50,-0.993181,-0.1458,0.000753,0.0011,46,140
4LJRA,100,100,0.115517,0.0170,0.000650,0.0010,71,187
4LJRA,200,200,0.163501,0.0240,0.001844,0.0027,170,99
4LJRA,500,500,-0.548474,-0.0805,0.001588,0.0024,133,113
3RNRA,1,1,-8.914870,-1.3280,0.001688,0.0026,42,27
3RNRA,2,2,-10.235465,-1.5247,0.002066,0.0032,29,26
3RNRA,5,5,-8.767376,-1.3060,0.002023,0.0031,46,32
3RNRA,10,10,-9.016035,-1.3431,0.001326,0.0020,68,45
3RNRA,20,20,-9.331390,-1.3900,0.001332,0.0021,74,43
3RNRA,50,50,-6.685075,-0.9958,0.002173,0.0033,87,56
3RNRA,100,100,-2.655951,-0.3956,0.003872,0.0060,103,56
3RNRA,200,200,2.553895,0.3804,0.001620,0.0025,37,41
3RNRA,500,500,1.159325,0.1727,0.007886,0.0121,24,24
4B62A,1,1,1.355965,0.1840,0.004284,0.0044,33,49
4B62A,2,2,1.063007,0.1443,0.003594,0.0037,57,75
4B62A,5,5,1.086080,0.1474,0.002444,0.0025,68,106
4B62A,10,10,1.573844,0.2136,0.006127,0.0063,40,50
4B62A,20,20,1.446577,0.1963,0.005241,0.0054,43,61
4B62A,50,50,1.398098,0.1898,0.011380,0.0116,30,17
4B62A,100,100,2.074494,0.2816,0.070862,0.0724,4,1
4B62A,200,200,0.673723,0.0914,0.045537,0.0465,49,2
4B62A,500,500,2.576673,0.3497,0.141810,0.1449,1,1
4K02A,1,1,-1.282058,-0.1731,0.003093,0.0033,31,37
4K02A,2,2,-0.685266,-0.0925,0.003534,0.0037,19,35
4K02A,5,5,-0.366453,-0.0495,0.004284,0.0045,19,29
4K02A,10,10,-0.177636,-0.0240,0.001842,0.0019,30,61
4K02A,20,20,0.369552,0.0499,0.002492,0.0026,20,38
4K02A,50,50,1.369046,0.1848,0.003293,0.0035,21,31
4K02A,100,100,1.461183,0.1973,0.003746,0.0040,36,52
4K02A,200,200,-1.201283,-0.1622,0.000439,0.0005,152,154
4K02A,500,500,0.977173,0.1319,0.005695,0.0060,94,52
3FUCA,1,1,0.381246,0.0469,0.996478,1.0285,1,1
3FUCA,2,2,0.261949,0.0322,0.996476,1.0285,1,1
3FUCA,5,5,-0.210730,-0.0259,0.996474,1.0285,1,1
3FUCA,10,10,0.060220,0.0074,0.996474,1.0285,1,1
3FUCA,20,20,0.490925,0.0604,0.996473,1.0285,1,1
3FUCA,50,50,1.739635,0.2140,0.992486,1.0243,1,1
