protein,seq_len,n_long_range_contacts,anchor_positions,n_anchors_steered,alpha,P_L5,P_L2,P_L
1COJA,212,244,"[109, 160, 157]",3,1.0,0.7380952380952381,0.5943396226415094,0.4528301886792453
1COJA,212,244,"[109, 160, 157]",3,1.5,0.7142857142857143,0.5849056603773585,0.45754716981132076
1COJA,212,244,"[109, 160, 157]",3,2.0,0.6904761904761905,0.5566037735849056,0.45754716981132076
1COJA,212,244,"[109, 160, 157]",3,3.0,0.6428571428571429,0.5754716981132075,0.46226415094339623
1CUKA,203,165,"[81, 116, 172]",3,0.0,0.875,0.6534653465346535,0.4482758620689655
1CUKA,203,165,"[81, 116, 172]",3,0.25,0.875,0.6435643564356436,0.45320197044334976
1CUKA,203,165,"[81, 116, 172]",3,0.5,0.875,0.6435643564356436,0.4482758620689655
1CUKA,203,165,"[81, 116, 172]",3,0.75,0.875,0.6336633663366337,0.4433497536945813
1CUKA,203,165,"[81, 116, 172]",3,1.0,0.875,0.6237623762376238,0.43842364532019706
1CUKA,203,165,"[81, 116, 172]",3,1.5,0.85,0.6237623762376238,0.43842364532019706
1CUKA,203,165,"[81, 116, 172]",3,2.0,0.85,0.6336633663366337,0.43349753694581283
1CUKA,203,165,"[81, 116, 172]",3,3.0,0.825,0.6534653465346535,0.43842364532019706
1D2SA,170,117,"[90, 19, 17]",3,0.0,0.6176470588235294,0.4235294117647059,0.28823529411764703
1D2SA,170,117,"[90, 19, 17]",3,0.25,0.6176470588235294,0.4117647058823529,0.2823529411764706
1D2SA,170,117,"[90, 19, 17]",3,0.5,0.6176470588235294,0.4235294117647059,0.2823529411764706
1D2SA,170,117,"[90, 19, 17]",3,0.75,0.6470588235294118,0.4235294117647059,0.2823529411764706
1D2SA,170,117,"[90, 19, 17]",3,1.0,0.6764705882352942,0.4117647058823529,0.2823529411764706
1D2SA,170,117,"[90, 19, 17]",3,1.5,0.6470588235294118,0.4235294117647059,0.2823529411764706
1D2SA,170,117,"[90, 19, 17]",3,2.0,0.6176470588235294,0.43529411764705883,0.27058823529411763
1D2SA,170,117,"[90, 19, 17]",3,3.0,0.6176470588235294,0.43529411764705883,0.27058823529411763
1DCSA,311,485,"[219, 182, 33]",3,0.0,0.8064516129032258,0.7290322580645161,0.5755627009646302
1DCSA,311,485,"[219, 182, 33]",3,0.25,0.8225806451612904,0.7290322580645161,0.572347266881029
1DCSA,311,485,"[219, 182, 33]",3,0.5,0.8225806451612904,0.7354838709677419,0.5659163987138264
1DCSA,311,485,"[219, 182, 33]",3,0.75,0.8387096774193549,0.7290322580645161,0.5627009646302251
1DCSA,311,485,"[219, 182, 33]",3,1.0,0.8387096774193549,0.7225806451612903,0.5594855305466238
1DCSA,311,485,"[219, 182, 33]",3,1.5,0.8387096774193549,0.7161290322580646,0.5594855305466238
1DCSA,311,485,"[219, 182, 33]",3,2.0,0.8225806451612904,0.7161290322580646,0.5594855305466238
1DCSA,311,485,"[219, 182, 33]",3,3.0,0.8387096774193549,0.7096774193548387,0.5562700964630225
1DPGA,485,796,"[113, 438, 112]",3,0.0,0.8865979381443299,0.7479338842975206,0.5731958762886598
1DPGA,485,796,"[113, 438, 112]",3,0.25,0.8865979381443299,0.743801652892562,0.5731958762886598
1DPGA,485,796,"[113, 438, 112]",3,0.5,0.8865979381443299,0.756198347107438,0.5649484536082474
1DPGA,485,796,"[113, 438, 112]",3,0.75,0.8969072164948454,0.7520661157024794,0.5628865979381443
1DPGA,485,796,"[113, 438, 112]",3,1.0,0.8865979381443299,0.743801652892562,0.5773195876288659
1DPGA,485,796,"[113, 438, 112]",3,1.5,0.8865979381443299,0.743801652892562,0.5835051546391753
1DPGA,485,796,"[113, 438, 112]",3,2.0,0.8865979381443299,0.731404958677686,0.5876288659793815
1DPGA,485,796,"[113, 438, 112]",3,3.0,0.8762886597938144,0.7272727272727273,0.5793814432989691
1DXYA,333,476,"[228, 71, 200]",3,0.0,0.9090909090909091,0.8614457831325302,0.6996996996996997
1DXYA,333,476,"[228, 71, 200]",3,0.25,0.9090909090909091,0.8554216867469879,0.7027027027027027
1DXYA,333,476,"[228, 71, 200]",3,0.5,0.9090909090909091,0.8493975903614458,0.7027027027027027
1DXYA,333,476,"[228, 71, 200]",3,0.75,0.9090909090909091,0.8554216867469879,0.7057057057057057
1DXYA,333,476,"[228, 71, 200]",3,1.0,0.9090909090909091,0.8493975903614458,0.7087087087087087
1DXYA,333,476,"[228, 71, 200]",3,1.5,0.8939393939393939,0.8554216867469879,0.7147147147147147
1DXYA,333,476,"[228, 71, 200]",3,2.0,0.8939393939393939,0.8554216867469879,0.7177177177177178
1DXYA,333,476,"[228, 71, 200]",3,3.0,0.9090909090909091,0.8554216867469879,0.7147147147147147
1DYPA,271,504,"[194, 101, 22]",3,0.0,0.9074074074074074,0.7925925925925926,0.6457564575645757
1DYPA,271,504,"[194, 101, 22]",3,0.25,0.9074074074074074,0.8,0.6457564575645757
1DYPA,271,504,"[194, 101, 22]",3,0.5,0.9074074074074074,0.8074074074074075,0.6383763837638377
1DYPA,271,504,"[194, 101, 22]",3,0.75,0.9259259259259259,0.8222222222222222,0.6383763837638377
1DYPA,271,504,"[194, 101, 22]",3,1.0,0.9259259259259259,0.8296296296296296,0.6346863468634686
1DYPA,271,504,"[194, 101, 22]",3,1.5,0.9259259259259259,0.8296296296296296,0.6383763837638377
1DYPA,271,504,"[194, 101, 22]",3,2.0,0.9259259259259259,0.8222222222222222,0.6346863468634686
1DYPA,271,504,"[194, 101, 22]",3,3.0,0.9259259259259259,0.8074074074074075,0.6236162361623616
1E0CA,271,495,"[85, 227, 84]",3,0.0,0.9259259259259259,0.7925925925925926,0.6678966789667896
1E0CA,271,495,"[85, 227, 84]",3,0.25,0.9074074074074074,0.8074074074074075,0.6605166051660517
1E0CA,271,495,"[85, 227, 84]",3,0.5,0.9074074074074074,0.8148148148148148,0.6568265682656826
1E0CA,271,495,"[85, 227, 84]",3,0.75,0.9074074074074074,0.8074074074074075,0.6568265682656826
1E0CA,271,495,"[85, 227, 84]",3,1.0,0.9074074074074074,0.8074074074074075,0.6678966789667896
1E0CA,271,495,"[85, 227, 84]",3,1.5,0.9074074074074074,0.8148148148148148,0.6715867158671587
1E0CA,271,495,"[85, 227, 84]",3,2.0,0.9074074074074074,0.8074074074074075,0.6642066420664207
1E0CA,271,495,"[85, 227, 84]",3,3.0,0.9444444444444444,0.8222222222222222,0.6642066420664207
1E5KA,201,284,"[96, 9, 49]",3,0.0,0.85,0.83,0.6915422885572139
1E5KA,201,284,"[96, 9, 49]",3,0.25,0.875,0.83,0.6915422885572139
1E5KA,201,284,"[96, 9, 49]",3,0.5,0.85,0.82,0.6865671641791045
1E5KA,201,284,"[96, 9, 49]",3,0.75,0.825,0.82,0.6915422885572139
1E5KA,201,284,"[96, 9, 49]",3,1.0,0.825,0.81,0.6915422885572139
1E5KA,201,284,"[96, 9, 49]",3,1.5,0.825,0.81,0.6865671641791045
1E5KA,201,284,"[96, 9, 49]",3,2.0,0.825,0.83,0.6915422885572139
1E5KA,201,284,"[96, 9, 49]",3,3.0,0.825,0.83,0.6915422885572139
1E6UA,321,556,"[101, 160, 216]",3,0.0,0.9375,0.89375,0.7570093457943925
1E6UA,321,556,"[101, 160, 216]",3,0.25,0.9375,0.89375,0.7601246105919003
1E6UA,321,556,"[101, 160, 216]",3,0.5,0.921875,0.8875,0.7632398753894081
1E6UA,321,556,"[101, 160, 216]",3,0.75,0.921875,0.88125,0.7601246105919003
1E6UA,321,556,"[101, 160, 216]",3,1.0,0.921875,0.8875,0.7476635514018691
1E6UA,321,556,"[101, 160, 216]",3,1.5,0.921875,0.8875,0.735202492211838
1E6UA,321,556,"[101, 160, 216]",3,2.0,0.9375,0.8875,0.7383177570093458
1E6UA,321,556,"[101, 160, 216]",3,3.0,0.9375,0.8875,0.7383177570093458
1EAJA,126,188,"[105, 26, 42]",3,0.0,1.0,0.8412698412698413,0.6984126984126984
1EAJA,126,188,"[105, 26, 42]",3,0.25,1.0,0.873015873015873,0.7063492063492064
1EAJA,126,188,"[105, 26, 42]",3,0.5,1.0,0.873015873015873,0.7063492063492064
1EAJA,126,188,"[105, 26, 42]",3,0.75,1.0,0.8888888888888888,0.7142857142857143
1EAJA,126,188,"[105, 26, 42]",3,1.0,1.0,0.8888888888888888,0.7222222222222222
1EAJA,126,188,"[105, 26, 42]",3,1.5,1.0,0.873015873015873,0.7222222222222222
1EAJA,126,188,"[105, 26, 42]",3,2.0,1.0,0.873015873015873,0.7222222222222222
1EAJA,126,188,"[105, 26, 42]",3,3.0,1.0,0.873015873015873,0.7222222222222222
1EKEA,230,327,"[6, 108, 157]",3,0.0,0.9130434782608695,0.7913043478260869,0.6304347826086957
1EKEA,230,327,"[6, 108, 157]",3,0.25,0.9130434782608695,0.8,0.6304347826086957
1EKEA,230,327,"[6, 108, 157]",3,0.5,0.9347826086956522,0.7913043478260869,0.6391304347826087
1EKEA,230,327,"[6, 108, 157]",3,0.75,0.9347826086956522,0.8,0.6347826086956522
1EKEA,230,327,"[6, 108, 157]",3,1.0,0.9347826086956522,0.8,0.6260869565217392
1EKEA,230,327,"[6, 108, 157]",3,1.5,0.9347826086956522,0.8173913043478261,0.6347826086956522
1EKEA,230,327,"[6, 108, 157]",3,2.0,0.9347826086956522,0.8173913043478261,0.6304347826086957
1EKEA,230,327,"[6, 108, 157]",3,3.0,0.9347826086956522,0.808695652173913,0.6347826086956522
