context,source,target,is_self,anchor_pos,anchor_rank,anchor_percentile,n_residues,top_1_hit,top_k_hit
masked,3WJPA,2B61A,False,315,1,0.9973,377,1,1
masked,3WJPA,2DPMA,False,39,2,0.993,284,0,1
masked,3WJPA,2PKEA,False,131,4,0.9841,251,0,0
masked,3WJPA,2QY6A,False,64,1,0.9961,257,1,1
masked,3WJPA,2YHWA,False,287,1,0.9971,343,1,1
masked,3WJPA,3CSSA,False,40,2,0.9925,267,0,1
masked,3WJPA,3HO7A,False,63,3,0.9871,232,0,1
masked,3WJPA,3OKPA,False,200,4,0.9898,394,0,0
masked,3WJPA,3QDLA,False,114,141,0.3286,210,0,0
masked,3WJPA,3WJPA,True,94,1,0.997,338,1,1
masked,3WJPA,4EHUA,False,100,1,0.9964,276,1,1
masked,3WJPA,4EX6A,False,124,1,0.9958,237,1,1
masked,3WJPA,4EZIA,False,310,1,0.9973,377,1,1
masked,3WJPA,4ME3A,False,75,3,0.9888,268,0,1
masked,3WJPA,4N9WA,False,194,4,0.9897,390,0,0
masked,3WJPA,4OY3A,False,193,2,0.9913,231,0,1
masked,4EHUA,1BRTA,False,220,1,0.9964,277,1,1
masked,4EHUA,1PVGA,False,101,1,0.9976,418,1,1
masked,4EHUA,2B61A,False,315,1,0.9973,377,1,1
masked,4EHUA,2DPMA,False,39,2,0.993,284,0,1
masked,4EHUA,2PKEA,False,131,4,0.9841,251,0,0
masked,4EHUA,2QY6A,False,64,1,0.9961,257,1,1
masked,4EHUA,2YHWA,False,287,2,0.9942,343,0,1
masked,4EHUA,3CSSA,False,40,2,0.9925,267,0,1
masked,4EHUA,3HO7A,False,63,3,0.9871,232,0,1
masked,4EHUA,3OKPA,False,200,4,0.9898,394,0,0
masked,4EHUA,3QDLA,False,114,133,0.3667,210,0,0
masked,4EHUA,3WJPA,False,94,1,0.997,338,1,1
masked,4EHUA,4EHUA,True,100,1,0.9964,276,1,1
masked,4EHUA,4EX6A,False,124,1,0.9958,237,1,1
masked,4EHUA,4EZIA,False,310,1,0.9973,377,1,1
masked,4EHUA,4ME3A,False,75,3,0.9888,268,0,1
masked,4EHUA,4N9WA,False,194,5,0.9872,390,0,0
masked,4EHUA,4OY3A,False,193,2,0.9913,231,0,1
masked,4EX6A,1BRTA,False,220,1,0.9964,277,1,1
masked,4EX6A,1PVGA,False,101,1,0.9976,418,1,1
masked,4EX6A,2B61A,False,315,1,0.9973,377,1,1
masked,4EX6A,2DPMA,False,39,2,0.993,284,0,1
masked,4EX6A,2PKEA,False,131,4,0.9841,251,0,0
masked,4EX6A,2QY6A,False,64,1,0.9961,257,1,1
masked,4EX6A,2YHWA,False,287,1,0.9971,343,1,1
masked,4EX6A,3CSSA,False,40,2,0.9925,267,0,1
masked,4EX6A,3HO7A,False,63,3,0.9871,232,0,1
masked,4EX6A,3OKPA,False,200,4,0.9898,394,0,0
masked,4EX6A,3QDLA,False,114,134,0.3619,210,0,0
masked,4EX6A,3WJPA,False,94,1,0.997,338,1,1
masked,4EX6A,4EHUA,False,100,2,0.9928,276,0,1
masked,4EX6A,4EX6A,True,124,1,0.9958,237,1,1
masked,4EX6A,4EZIA,False,310,1,0.9973,377,1,1
masked,4EX6A,4ME3A,False,75,3,0.9888,268,0,1
masked,4EX6A,4N9WA,False,194,6,0.9846,390,0,0
masked,4EX6A,4OY3A,False,193,2,0.9913,231,0,1
masked,4EZIA,1BRTA,False,220,1,0.9964,277,1,1
masked,4EZIA,1PVGA,False,101,1,0.9976,418,1,1
masked,4EZIA,2B61A,False,315,1,0.9973,377,1,1
masked,4EZIA,2DPMA,False,39,2,0.993,284,0,1
masked,4EZIA,2PKEA,False,131,4,0.9841,251,0,0
masked,4EZIA,2QY6A,False,64,1,0.9961,257,1,1
masked,4EZIA,2YHWA,False,287,2,0.9942,343,0,1
masked,4EZIA,3CSSA,False,40,2,0.9925,267,0,1
masked,4EZIA,3HO7A,False,63,3,0.9871,232,0,1
masked,4EZIA,3OKPA,False,200,3,0.9924,394,0,1
masked,4EZIA,3QDLA,False,114,158,0.2476,210,0,0
masked,4EZIA,3WJPA,False,94,1,0.997,338,1,1
masked,4EZIA,4EHUA,False,100,1,0.9964,276,1,1
masked,4EZIA,4EX6A,False,124,1,0.9958,237,1,1
masked,4EZIA,4EZIA,True,310,1,0.9973,377,1,1
masked,4EZIA,4ME3A,False,75,3,0.9888,268,0,1
masked,4EZIA,4N9WA,False,194,4,0.9897,390,0,0
masked,4EZIA,4OY3A,False,193,2,0.9913,231,0,1
masked,4ME3A,1BRTA,False,220,1,0.9964,277,1,1
masked,4ME3A,1PVGA,False,101,1,0.9976,418,1,1
masked,4ME3A,2B61A,False,315,1,0.9973,377,1,1
masked,4ME3A,2DPMA,False,39,2,0.993,284,0,1
masked,4ME3A,2PKEA,False,131,4,0.9841,251,0,0
masked,4ME3A,2QY6A,False,64,1,0.9961,257,1,1
masked,4ME3A,2YHWA,False,287,1,0.9971,343,1,1
masked,4ME3A,3CSSA,False,40,2,0.9925,267,0,1
masked,4ME3A,3HO7A,False,63,3,0.9871,232,0,1
masked,4ME3A,3OKPA,False,200,3,0.9924,394,0,1
masked,4ME3A,3QDLA,False,114,136,0.3524,210,0,0
masked,4ME3A,3WJPA,False,94,1,0.997,338,1,1
masked,4ME3A,4EHUA,False,100,1,0.9964,276,1,1
masked,4ME3A,4EX6A,False,124,1,0.9958,237,1,1
masked,4ME3A,4EZIA,False,310,1,0.9973,377,1,1
masked,4ME3A,4ME3A,True,75,3,0.9888,268,0,1
masked,4ME3A,4N9WA,False,194,5,0.9872,390,0,0
masked,4ME3A,4OY3A,False,193,2,0.9913,231,0,1
masked,4N9WA,1BRTA,False,220,1,0.9964,277,1,1
masked,4N9WA,1PVGA,False,101,1,0.9976,418,1,1
masked,4N9WA,2B61A,False,315,1,0.9973,377,1,1
masked,4N9WA,2DPMA,False,39,2,0.993,284,0,1
masked,4N9WA,2PKEA,False,131,4,0.9841,251,0,0
masked,4N9WA,2QY6A,False,64,1,0.9961,257,1,1
masked,4N9WA,2YHWA,False,287,1,0.9971,343,1,1
masked,4N9WA,3CSSA,False,40,2,0.9925,267,0,1
masked,4N9WA,3HO7A,False,63,3,0.9871,232,0,1
masked,4N9WA,3OKPA,False,200,4,0.9898,394,0,0
masked,4N9WA,3QDLA,False,114,140,0.3333,210,0,0
masked,4N9WA,3WJPA,False,94,1,0.997,338,1,1
masked,4N9WA,4EHUA,False,100,2,0.9928,276,0,1
masked,4N9WA,4EX6A,False,124,1,0.9958,237,1,1
masked,4N9WA,4EZIA,False,310,1,0.9973,377,1,1
masked,4N9WA,4ME3A,False,75,5,0.9813,268,0,0
masked,4N9WA,4N9WA,True,194,4,0.9897,390,0,0
masked,4N9WA,4OY3A,False,193,2,0.9913,231,0,1
masked,4OY3A,1BRTA,False,220,1,0.9964,277,1,1
masked,4OY3A,1PVGA,False,101,1,0.9976,418,1,1
masked,4OY3A,2B61A,False,315,1,0.9973,377,1,1
masked,4OY3A,2DPMA,False,39,2,0.993,284,0,1
masked,4OY3A,2PKEA,False,131,2,0.992,251,0,1
masked,4OY3A,2QY6A,False,64,1,0.9961,257,1,1
masked,4OY3A,2YHWA,False,287,1,0.9971,343,1,1
masked,4OY3A,3CSSA,False,40,2,0.9925,267,0,1
masked,4OY3A,3HO7A,False,63,3,0.9871,232,0,1
masked,4OY3A,3OKPA,False,200,3,0.9924,394,0,1
masked,4OY3A,3QDLA,False,114,77,0.6333,210,0,0
masked,4OY3A,3WJPA,False,94,1,0.997,338,1,1
masked,4OY3A,4EHUA,False,100,2,0.9928,276,0,1
masked,4OY3A,4EX6A,False,124,1,0.9958,237,1,1
masked,4OY3A,4EZIA,False,310,1,0.9973,377,1,1
masked,4OY3A,4ME3A,False,75,3,0.9888,268,0,1
masked,4OY3A,4N9WA,False,194,4,0.9897,390,0,0
masked,4OY3A,4OY3A,True,193,2,0.9913,231,0,1
full,1BRTA,1BRTA,True,220,1,0.9964,277,1,1
full,1BRTA,1PVGA,False,101,1,0.9976,418,1,1
full,1BRTA,2B61A,False,315,1,0.9973,377,1,1
full,1BRTA,2DPMA,False,39,2,0.993,284,0,1
full,1BRTA,2PKEA,False,131,3,0.988,251,0,1
full,1BRTA,2QY6A,False,64,1,0.9961,257,1,1
full,1BRTA,2YHWA,False,287,1,0.9971,343,1,1
full,1BRTA,3CSSA,False,40,2,0.9925,267,0,1
full,1BRTA,3HO7A,False,63,3,0.9871,232,0,1
full,1BRTA,3OKPA,False,200,4,0.9898,394,0,0
full,1BRTA,3QDLA,False,114,73,0.6524,210,0,0
full,1BRTA,3WJPA,False,94,1,0.997,338,1,1
full,1BRTA,4EHUA,False,100,1,0.9964,276,1,1
full,1BRTA,4EX6A,False,124,1,0.9958,237,1,1
full,1BRTA,4EZIA,False,310,1,0.9973,377,1,1
full,1BRTA,4ME3A,False,75,3,0.9888,268,0,1
full,1BRTA,4N9WA,False,194,6,0.9846,390,0,0
full,1BRTA,4OY3A,False,193,2,0.9913,231,0,1
full,1PVGA,1BRTA,False,220,2,0.9928,277,0,1
full,1PVGA,1PVGA,True,101,1,0.9976,418,1,1
full,1PVGA,2B61A,False,315,1,0.9973,377,1,1
full,1PVGA,2DPMA,False,39,2,0.993,284,0,1
full,1PVGA,2PKEA,False,131,2,0.992,251,0,1
full,1PVGA,2QY6A,False,64,1,0.9961,257,1,1
full,1PVGA,2YHWA,False,287,1,0.9971,343,1,1
full,1PVGA,3CSSA,False,40,2,0.9925,267,0,1
full,1PVGA,3HO7A,False,63,3,0.9871,232,0,1
full,1PVGA,3OKPA,False,200,3,0.9924,394,0,1
full,1PVGA,3QDLA,False,114,74,0.6476,210,0,0
full,1PVGA,3WJPA,False,94,1,0.997,338,1,1
full,1PVGA,4EHUA,False,100,1,0.9964,276,1,1
full,1PVGA,4EX6A,False,124,1,0.9958,237,1,1
full,1PVGA,4EZIA,False,310,1,0.9973,377,1,1
full,1PVGA,4ME3A,False,75,3,0.9888,268,0,1
full,1PVGA,4N9WA,False,194,4,0.9897,390,0,0
full,1PVGA,4OY3A,False,193,2,0.9913,231,0,1
full,2B61A,1BRTA,False,220,1,0.9964,277,1,1
full,2B61A,1PVGA,False,101,1,0.9976,418,1,1
full,2B61A,2B61A,True,315,1,0.9973,377,1,1
full,2B61A,2DPMA,False,39,2,0.993,284,0,1
full,2B61A,2PKEA,False,131,3,0.988,251,0,1
full,2B61A,2QY6A,False,64,1,0.9961,257,1,1
full,2B61A,2YHWA,False,287,1,0.9971,343,1,1
full,2B61A,3CSSA,False,40,2,0.9925,267,0,1
full,2B61A,3HO7A,False,63,3,0.9871,232,0,1
full,2B61A,3OKPA,False,200,4,0.9898,394,0,0
full,2B61A,3QDLA,False,114,80,0.619,210,0,0
full,2B61A,3WJPA,False,94,1,0.997,338,1,1
full,2B61A,4EHUA,False,100,1,0.9964,276,1,1
full,2B61A,4EX6A,False,124,1,0.9958,237,1,1
full,2B61A,4EZIA,False,310,1,0.9973,377,1,1
full,2B61A,4ME3A,False,75,3,0.9888,268,0,1
full,2B61A,4N9WA,False,194,6,0.9846,390,0,0
full,2B61A,4OY3A,False,193,2,0.9913,231,0,1
full,2DPMA,1BRTA,False,220,1,0.9964,277,1,1
full,2DPMA,1PVGA,False,101,1,0.9976,418,1,1
full,2DPMA,2B61A,False,315,1,0.9973,377,1,1
full,2DPMA,2DPMA,True,39,2,0.993,284,0,1
full,2DPMA,2PKEA,False,131,2,0.992,251,0,1
full,2DPMA,2QY6A,False,64,1,0.9961,257,1,1
full,2DPMA,2YHWA,False,287,1,0.9971,343,1,1
full,2DPMA,3CSSA,False,40,2,0.9925,267,0,1
full,2DPMA,3HO7A,False,63,3,0.9871,232,0,1
full,2DPMA,3OKPA,False,200,4,0.9898,394,0,0
full,2DPMA,3QDLA,False,114,52,0.7524,210,0,0
full,2DPMA,3WJPA,False,94,1,0.997,338,1,1
full,2DPMA,4EHUA,False,100,1,0.9964,276,1,1
full,2DPMA,4EX6A,False,124,1,0.9958,237,1,1
full,2DPMA,4EZIA,False,310,1,0.9973,377,1,1
full,2DPMA,4ME3A,False,75,3,0.9888,268,0,1
full,2DPMA,4N9WA,False,194,5,0.9872,390,0,0
full,2DPMA,4OY3A,False,193,2,0.9913,231,0,1
full,2PKEA,1BRTA,False,220,1,0.9964,277,1,1
full,2PKEA,1PVGA,False,101,1,0.9976,418,1,1
full,2PKEA,2B61A,False,315,1,0.9973,377,1,1
full,2PKEA,2DPMA,False,39,2,0.993,284,0,1
full,2PKEA,2PKEA,True,131,3,0.988,251,0,1
full,2PKEA,2QY6A,False,64,1,0.9961,257,1,1
full,2PKEA,2YHWA,False,287,1,0.9971,343,1,1
full,2PKEA,3CSSA,False,40,2,0.9925,267,0,1
full,2PKEA,3HO7A,False,63,3,0.9871,232,0,1
full,2PKEA,3OKPA,False,200,4,0.9898,394,0,0
full,2PKEA,3QDLA,False,114,63,0.7,210,0,0
full,2PKEA,3WJPA,False,94,1,0.997,338,1,1
full,2PKEA,4EHUA,False,100,1,0.9964,276,1,1
full,2PKEA,4EX6A,False,124,1,0.9958,237,1,1
full,2PKEA,4EZIA,False,310,1,0.9973,377,1,1
full,2PKEA,4ME3A,False,75,3,0.9888,268,0,1
full,2PKEA,4N9WA,False,194,6,0.9846,390,0,0
full,2PKEA,4OY3A,False,193,2,0.9913,231,0,1
full,2QY6A,1BRTA,False,220,1,0.9964,277,1,1
full,2QY6A,1PVGA,False,101,1,0.9976,418,1,1
full,2QY6A,2B61A,False,315,1,0.9973,377,1,1
full,2QY6A,2DPMA,False,39,2,0.993,284,0,1
full,2QY6A,2PKEA,False,131,3,0.988,251,0,1
full,2QY6A,2QY6A,True,64,1,0.9961,257,1,1
full,2QY6A,2YHWA,False,287,1,0.9971,343,1,1
full,2QY6A,3CSSA,False,40,2,0.9925,267,0,1
full,2QY6A,3HO7A,False,63,3,0.9871,232,0,1
full,2QY6A,3OKPA,False,200,4,0.9898,394,0,0
full,2QY6A,3QDLA,False,114,55,0.7381,210,0,0
full,2QY6A,3WJPA,False,94,1,0.997,338,1,1
full,2QY6A,4EHUA,False,100,1,0.9964,276,1,1
full,2QY6A,4EX6A,False,124,1,0.9958,237,1,1
full,2QY6A,4EZIA,False,310,1,0.9973,377,1,1
full,2QY6A,4ME3A,False,75,3,0.9888,268,0,1
full,2QY6A,4N9WA,False,194,4,0.9897,390,0,0
full,2QY6A,4OY3A,False,193,2,0.9913,231,0,1
full,2YHWA,1BRTA,False,220,1,0.9964,277,1,1
full,2YHWA,1PVGA,False,101,1,0.9976,418,1,1
full,2YHWA,2B61A,False,315,1,0.9973,377,1,1
full,2YHWA,2DPMA,False,39,2,0.993,284,0,1
full,2YHWA,2PKEA,False,131,3,0.988,251,0,1
full,2YHWA,2QY6A,False,64,1,0.9961,257,1,1
full,2YHWA,2YHWA,True,287,1,0.9971,343,1,1
full,2YHWA,3CSSA,False,40,2,0.9925,267,0,1
full,2YHWA,3HO7A,False,63,3,0.9871,232,0,1
