component,protein,clean_score,corrupt_score,delta_d_proj,frac_of_total
embed,3RHBA,-0.055747,-0.068136,0.012388,0.000923
embed,3ZSJA,-0.035549,-0.052083,0.016534,0.001281
embed,4GS1A,0.129144,0.167128,-0.037983,-0.004942
embed,4I8HA,0.028474,0.041718,-0.013244,-0.002034
embed,4K8WA,-0.033264,-0.048735,0.015472,0.001758
embed,4LBHA,-0.196633,-0.230830,0.034197,0.003917
embed,4LH6A,0.146295,0.216799,-0.070504,-0.004338
embed,4MUOA,0.141971,0.210391,-0.068420,-0.003327
embed,4MZCA,0.181199,0.221466,-0.040267,-0.004731
embed,4PEDA,0.169935,0.251832,-0.081897,-0.003226
embed,4RVCA,-0.062719,-0.091890,0.029171,0.002500
embed,4TL6A,-0.107908,-0.159912,0.052004,0.003530
embed,4WBJA,-0.042151,-0.061756,0.019605,0.001711
embed,4XRAA,0.078686,0.115285,-0.036598,-0.001737
embed,5AJGA,0.148996,0.220801,-0.071805,-0.004581
attn_L0_H0,1CUKA,-0.096077,-0.103251,0.007174,0.000556
attn_L0_H0,1F86A,-0.108160,-0.114856,0.006696,0.000568
attn_L0_H0,1G3QA,-0.103817,-0.113837,0.010020,0.000650
attn_L0_H0,1H4XA,-0.078657,-0.094047,0.015390,0.000657
attn_L0_H0,1HDKA,-0.111129,-0.109883,-0.001246,-0.000111
attn_L0_H0,1KMVA,-0.096555,-0.101100,0.004545,0.000259
attn_L0_H0,1S3CA,-0.105150,-0.114482,0.009332,0.001427
attn_L0_H0,1T2WA,-0.091601,-0.101769,0.010168,0.002183
attn_L0_H0,1U2KA,-0.093149,-0.100086,0.006938,0.000477
attn_L0_H0,2CZQA,-0.099750,-0.103833,0.004083,0.000278
attn_L0_H0,2D2EA,-0.095811,-0.101138,0.005328,0.000330
attn_L0_H0,2D59A,-0.108203,-0.114776,0.006573,0.000709
attn_L0_H0,2D5MA,-0.108886,-0.115919,0.007032,0.000581
attn_L0_H0,2DYIA,-0.108269,-0.118661,0.010392,0.001037
attn_L0_H0,2GK4A,-0.099534,-0.105519,0.005985,0.000677
attn_L0_H0,2II1A,-0.094602,-0.105299,0.010697,0.000793
attn_L0_H0,2O2KA,-0.059460,-0.091531,0.032071,0.005304
attn_L0_H0,2OZEA,-0.115477,-0.114322,-0.001155,-0.000118
attn_L0_H0,2PJZA,-0.099364,-0.111441,0.012077,0.000901
attn_L0_H0,2WAWA,-0.095993,-0.106136,0.010143,0.000584
attn_L0_H0,2YC3A,-0.103180,-0.112138,0.008959,0.000857
attn_L0_H0,3BZMA,-0.101730,-0.106973,0.005243,0.001832
attn_L0_H0,3C8MA,-0.095765,-0.111574,0.015809,0.000802
attn_L0_H0,3EYEA,-0.097671,-0.100182,0.002512,0.000174
attn_L0_H0,3FF9A,0.303915,0.281225,0.022690,0.003879
attn_L0_H0,3FZ4A,-0.102123,-0.102662,0.000539,0.000062
attn_L0_H0,3G5TA,-0.120784,-0.121307,0.000523,0.000026
attn_L0_H0,3GX8A,-0.111621,-0.112132,0.000511,0.000053
attn_L0_H0,3JRNA,-0.102426,-0.107593,0.005167,0.000313
attn_L0_H0,3L51A,-0.086150,-0.096384,0.010234,0.001095
attn_L0_H0,3LWXA,-0.109126,-0.116030,0.006904,0.001058
attn_L0_H0,3N08A,-0.120147,-0.121594,0.001447,0.000148
attn_L0_H0,3NY7A,-0.087369,-0.101848,0.014480,0.001335
attn_L0_H0,3PU9A,-0.079952,-0.097320,0.017369,0.001175
attn_L0_H0,3R6DA,-0.104291,-0.108615,0.004324,0.000317
attn_L0_H0,3RHBA,-0.106570,-0.118210,0.011640,0.000867
attn_L0_H0,3ZSJA,-0.101758,-0.115045,0.013287,0.001030
attn_L0_H0,4GS1A,-0.085671,-0.095581,0.009910,0.001289
attn_L0_H0,4I8HA,-0.111720,-0.117391,0.005671,0.000871
attn_L0_H0,4K8WA,-0.099841,-0.101766,0.001925,0.000219
attn_L0_H0,4LBHA,-0.091811,-0.098690,0.006879,0.000788
attn_L0_H0,4LH6A,-0.095350,-0.105886,0.010536,0.000648
attn_L0_H0,4MUOA,-0.090424,-0.102581,0.012157,0.000591
attn_L0_H0,4MZCA,-0.101479,-0.103172,0.001692,0.000199
attn_L0_H0,4PEDA,-0.085376,-0.092889,0.007513,0.000296
attn_L0_H0,4RVCA,-0.112272,-0.116461,0.004189,0.000359
attn_L0_H0,4TL6A,-0.104237,-0.116670,0.012433,0.000844
attn_L0_H0,4WBJA,-0.118960,-0.126856,0.007896,0.000689
attn_L0_H0,4XRAA,-0.108144,-0.115125,0.006980,0.000331
attn_L0_H0,5AJGA,-0.088957,-0.099924,0.010966,0.000700
attn_L0_H1,1CUKA,0.007404,0.036034,-0.028631,-0.002220
attn_L0_H1,1F86A,0.026850,0.046917,-0.020067,-0.001701
attn_L0_H1,1G3QA,0.035318,0.049886,-0.014568,-0.000945
attn_L0_H1,1H4XA,-0.009613,0.022935,-0.032548,-0.001390
attn_L0_H1,1HDKA,0.035323,0.050633,-0.015310,-0.001362
attn_L0_H1,1KMVA,0.025765,0.046137,-0.020372,-0.001160
attn_L0_H1,1S3CA,-0.003310,0.021011,-0.024321,-0.003720
attn_L0_H1,1T2WA,0.041115,0.061365,-0.020250,-0.004348
attn_L0_H1,1U2KA,-0.003417,0.026909,-0.030326,-0.002084
attn_L0_H1,2CZQA,0.020073,0.033034,-0.012961,-0.000883
attn_L0_H1,2D2EA,0.029511,0.045762,-0.016251,-0.001008
attn_L0_H1,2D59A,0.050286,0.055243,-0.004957,-0.000534
attn_L0_H1,2D5MA,0.033586,0.052484,-0.018898,-0.001560
attn_L0_H1,2DYIA,0.029473,0.053470,-0.023997,-0.002395
attn_L0_H1,2GK4A,0.016178,0.029789,-0.013610,-0.001540
attn_L0_H1,2II1A,0.031690,0.052001,-0.020311,-0.001507
attn_L0_H1,2O2KA,-0.100105,-0.014333,-0.085772,-0.014185
attn_L0_H1,2OZEA,0.022005,0.035202,-0.013197,-0.001352
attn_L0_H1,2PJZA,0.029731,0.042929,-0.013198,-0.000985
attn_L0_H1,2WAWA,0.011842,0.023147,-0.011305,-0.000651
attn_L0_H1,2YC3A,0.038027,0.055262,-0.017235,-0.001648
attn_L0_H1,3BZMA,0.031709,0.036803,-0.005095,-0.001780
attn_L0_H1,3C8MA,0.012702,0.035746,-0.023044,-0.001170
attn_L0_H1,3EYEA,0.014899,0.030521,-0.015622,-0.001083
attn_L0_H1,3FF9A,-0.002124,0.003627,-0.005750,-0.000983
attn_L0_H1,3FZ4A,0.030462,0.044451,-0.013988,-0.001614
attn_L0_H1,3G5TA,0.011017,0.032942,-0.021925,-0.001088
attn_L0_H1,3GX8A,0.047132,0.055021,-0.007889,-0.000810
attn_L0_H1,3JRNA,0.017866,0.037355,-0.019489,-0.001181
attn_L0_H1,3L51A,0.025830,0.048210,-0.022380,-0.002395
attn_L0_H1,3LWXA,0.031123,0.042476,-0.011353,-0.001740
attn_L0_H1,3N08A,0.057490,0.067198,-0.009708,-0.000995
attn_L0_H1,3NY7A,0.009139,0.030083,-0.020944,-0.001931
attn_L0_H1,3PU9A,-0.074681,-0.034191,-0.040490,-0.002740
attn_L0_H1,3R6DA,0.039286,0.057890,-0.018604,-0.001365
attn_L0_H1,3RHBA,0.045992,0.057481,-0.011489,-0.000856
attn_L0_H1,3ZSJA,0.039268,0.048866,-0.009599,-0.000744
attn_L0_H1,4GS1A,-0.005454,0.017564,-0.023018,-0.002995
attn_L0_H1,4I8HA,0.012682,0.041588,-0.028906,-0.004440
attn_L0_H1,4K8WA,0.024933,0.047783,-0.022850,-0.002596
attn_L0_H1,4LBHA,0.026564,0.036255,-0.009691,-0.001110
attn_L0_H1,4LH6A,0.037016,0.052636,-0.015620,-0.000961
attn_L0_H1,4MUOA,0.027980,0.047983,-0.020003,-0.000973
attn_L0_H1,4MZCA,0.049440,0.058281,-0.008841,-0.001039
attn_L0_H1,4PEDA,0.027793,0.047359,-0.019565,-0.000771
attn_L0_H1,4RVCA,0.037088,0.054351,-0.017263,-0.001479
attn_L0_H1,4TL6A,-0.020740,0.011053,-0.031793,-0.002158
attn_L0_H1,4WBJA,0.033103,0.052557,-0.019454,-0.001698
attn_L0_H1,4XRAA,0.048531,0.059417,-0.010885,-0.000517
attn_L0_H1,5AJGA,0.002924,0.032593,-0.029668,-0.001893
attn_L0_H2,1CUKA,-0.237907,-0.251308,0.013401,0.001039
attn_L0_H2,1F86A,-0.224935,-0.237105,0.012170,0.001032
attn_L0_H2,1G3QA,-0.240800,-0.251509,0.010710,0.000695
attn_L0_H2,1H4XA,-0.211563,-0.235867,0.024305,0.001038
attn_L0_H2,1HDKA,-0.242032,-0.247956,0.005925,0.000527
attn_L0_H2,1KMVA,-0.235801,-0.245616,0.009815,0.000559
attn_L0_H2,1S3CA,-0.216333,-0.235827,0.019494,0.002982
attn_L0_H2,1T2WA,-0.225937,-0.238637,0.012700,0.002727
attn_L0_H2,1U2KA,-0.223659,-0.239869,0.016210,0.001114
attn_L0_H2,2CZQA,-0.217096,-0.228910,0.011814,0.000805
attn_L0_H2,2D2EA,-0.231183,-0.237502,0.006319,0.000392
attn_L0_H2,2D59A,-0.236564,-0.251300,0.014736,0.001589
attn_L0_H2,2D5MA,-0.231662,-0.242746,0.011084,0.000915
attn_L0_H2,2DYIA,-0.220259,-0.236546,0.016287,0.001625
attn_L0_H2,2GK4A,-0.235679,-0.245679,0.010000,0.001132
attn_L0_H2,2II1A,-0.216475,-0.231541,0.015066,0.001118
attn_L0_H2,2O2KA,-0.150395,-0.215229,0.064834,0.010723
attn_L0_H2,2OZEA,-0.246005,-0.252434,0.006429,0.000659
attn_L0_H2,2PJZA,-0.233855,-0.242025,0.008170,0.000610
attn_L0_H2,2WAWA,-0.216236,-0.230409,0.014173,0.000816
attn_L0_H2,2YC3A,-0.237940,-0.252575,0.014635,0.001399
attn_L0_H2,3BZMA,-0.237338,-0.241550,0.004212,0.001472
attn_L0_H2,3C8MA,-0.224776,-0.240712,0.015936,0.000809
attn_L0_H2,3EYEA,-0.224746,-0.240625,0.015879,0.001101
attn_L0_H2,3FF9A,-0.243106,-0.251867,0.008762,0.001498
attn_L0_H2,3FZ4A,-0.243628,-0.253018,0.009389,0.001083
attn_L0_H2,3G5TA,-0.221681,-0.240415,0.018734,0.000930
attn_L0_H2,3GX8A,-0.236594,-0.241827,0.005232,0.000537
attn_L0_H2,3JRNA,-0.234051,-0.246830,0.012778,0.000774
attn_L0_H2,3L51A,-0.222131,-0.237138,0.015007,0.001606
attn_L0_H2,3LWXA,-0.215433,-0.231745,0.016313,0.002500
attn_L0_H2,3N08A,-0.243267,-0.252141,0.008874,0.000909
attn_L0_H2,3NY7A,-0.203689,-0.225334,0.021645,0.001995
attn_L0_H2,3PU9A,-0.214711,-0.229897,0.015187,0.001028
attn_L0_H2,3R6DA,-0.240954,-0.249821,0.008867,0.000650
attn_L0_H2,3RHBA,-0.250899,-0.255583,0.004684,0.000349
attn_L0_H2,3ZSJA,-0.221161,-0.238722,0.017560,0.001361
attn_L0_H2,4GS1A,-0.213405,-0.224820,0.011415,0.001485
attn_L0_H2,4I8HA,-0.248938,-0.256313,0.007375,0.001133
attn_L0_H2,4K8WA,-0.213332,-0.230750,0.017418,0.001979
attn_L0_H2,4LBHA,-0.250044,-0.252331,0.002287,0.000262
attn_L0_H2,4LH6A,-0.222167,-0.238307,0.016140,0.000993
attn_L0_H2,4MUOA,-0.222021,-0.239111,0.017089,0.000831
attn_L0_H2,4MZCA,-0.236629,-0.244006,0.007377,0.000867
attn_L0_H2,4PEDA,-0.236488,-0.248566,0.012078,0.000476
attn_L0_H2,4RVCA,-0.244759,-0.256611,0.011851,0.001016
attn_L0_H2,4TL6A,-0.212374,-0.237108,0.024734,0.001679
attn_L0_H2,4WBJA,-0.230103,-0.249760,0.019658,0.001715
attn_L0_H2,4XRAA,-0.234912,-0.249047,0.014135,0.000671
attn_L0_H2,5AJGA,-0.227253,-0.240403,0.013149,0.000839
attn_L0_H3,1CUKA,-0.026449,-0.031278,0.004829,0.000374
attn_L0_H3,1F86A,-0.068459,-0.058942,-0.009517,-0.000807
attn_L0_H3,1G3QA,-0.066717,-0.079241,0.012523,0.000812
attn_L0_H3,1H4XA,-0.037180,-0.044022,0.006842,0.000292
attn_L0_H3,1HDKA,-0.053833,-0.027462,-0.026371,-0.002346
attn_L0_H3,1KMVA,-0.025798,-0.023530,-0.002268,-0.000129
attn_L0_H3,1S3CA,-0.120735,-0.121663,0.000928,0.000142
attn_L0_H3,1T2WA,-0.106252,-0.060735,-0.045516,-0.009773
attn_L0_H3,1U2KA,-0.093396,-0.059145,-0.034251,-0.002354
attn_L0_H3,2CZQA,0.002823,0.000546,0.002276,0.000155
attn_L0_H3,2D2EA,-0.074931,-0.063772,-0.011158,-0.000692
attn_L0_H3,2D59A,-0.007939,-0.002344,-0.005595,-0.000603
attn_L0_H3,2D5MA,-0.008980,0.027431,-0.036412,-0.003007
attn_L0_H3,2DYIA,-0.007683,0.040056,-0.047739,-0.004764
attn_L0_H3,2GK4A,-0.064822,-0.040214,-0.024608,-0.002784
attn_L0_H3,2II1A,0.006055,0.024326,-0.018271,-0.001355
attn_L0_H3,2O2KA,-0.129428,-0.118497,-0.010931,-0.001808
attn_L0_H3,2OZEA,-0.072461,-0.063666,-0.008795,-0.000901
attn_L0_H3,2PJZA,-0.081141,-0.061544,-0.019597,-0.001463
attn_L0_H3,2WAWA,-0.005094,-0.008063,0.002969,0.000171
attn_L0_H3,2YC3A,-0.034412,-0.042230,0.007818,0.000748
attn_L0_H3,3BZMA,-0.087203,-0.088230,0.001028,0.000359
attn_L0_H3,3C8MA,-0.118256,-0.110355,-0.007901,-0.000401
attn_L0_H3,3EYEA,-0.016265,-0.012145,-0.004121,-0.000286
attn_L0_H3,3FF9A,-0.103032,-0.124754,0.021722,0.003713
attn_L0_H3,3FZ4A,-0.134253,-0.102647,-0.031606,-0.003647
attn_L0_H3,3G5TA,-0.115485,-0.094840,-0.020645,-0.001025
attn_L0_H3,3GX8A,-0.052132,-0.019319,-0.032813,-0.003370
attn_L0_H3,3JRNA,-0.079244,-0.025942,-0.053302,-0.003229
attn_L0_H3,3L51A,-0.022271,-0.029160,0.006889,0.000737
attn_L0_H3,3LWXA,-0.034067,-0.030957,-0.003110,-0.000477
attn_L0_H3,3N08A,-0.025378,-0.006801,-0.018577,-0.001903
attn_L0_H3,3NY7A,-0.074945,-0.053770,-0.021176,-0.001952
attn_L0_H3,3PU9A,-0.043962,-0.038449,-0.005513,-0.000373
attn_L0_H3,3R6DA,-0.098007,-0.080966,-0.017041,-0.001250
attn_L0_H3,3RHBA,-0.030889,-0.015197,-0.015692,-0.001169
attn_L0_H3,3ZSJA,-0.013418,-0.029122,0.015703,0.001217
attn_L0_H3,4GS1A,-0.066769,-0.060214,-0.006555,-0.000853
attn_L0_H3,4I8HA,-0.130972,-0.067884,-0.063088,-0.009691
attn_L0_H3,4K8WA,-0.001079,0.012096,-0.013175,-0.001497
attn_L0_H3,4LBHA,-0.055802,-0.047267,-0.008535,-0.000978
attn_L0_H3,4LH6A,-0.041798,-0.052391,0.010592,0.000652
attn_L0_H3,4MUOA,0.004819,0.007584,-0.002765,-0.000134
attn_L0_H3,4MZCA,0.029587,0.027188,0.002399,0.000282
attn_L0_H3,4PEDA,-0.038348,-0.012850,-0.025498,-0.001004
attn_L0_H3,4RVCA,-0.036873,-0.005234,-0.031639,-0.002711
attn_L0_H3,4TL6A,-0.084636,-0.060433,-0.024204,-0.001643
attn_L0_H3,4WBJA,-0.072366,-0.077163,0.004798,0.000419
attn_L0_H3,4XRAA,-0.069512,-0.051978,-0.017534,-0.000832
attn_L0_H3,5AJGA,-0.049834,-0.029412,-0.020422,-0.001303
attn_L0_H4,1CUKA,-0.147982,-0.164625,0.016642,0.001290
attn_L0_H4,1F86A,-0.143723,-0.159413,0.015690,0.001330
attn_L0_H4,1G3QA,-0.166359,-0.175998,0.009640,0.000625
attn_L0_H4,1H4XA,-0.115494,-0.146576,0.031083,0.001327
attn_L0_H4,1HDKA,-0.158487,-0.169248,0.010761,0.000957
attn_L0_H4,1KMVA,-0.148366,-0.165261,0.016895,0.000962
attn_L0_H4,1S3CA,-0.130018,-0.153393,0.023375,0.003575
attn_L0_H4,1T2WA,-0.112677,-0.125110,0.012433,0.002669
attn_L0_H4,1U2KA,-0.137127,-0.158228,0.021102,0.001450
attn_L0_H4,2CZQA,-0.143547,-0.155130,0.011583,0.000789
attn_L0_H4,2D2EA,-0.157724,-0.164804,0.007081,0.000439
attn_L0_H4,2D59A,-0.155798,-0.171603,0.015804,0.001704
attn_L0_H4,2D5MA,-0.157613,-0.170077,0.012464,0.001029
attn_L0_H4,2DYIA,-0.135842,-0.156706,0.020864,0.002082
attn_L0_H4,2GK4A,-0.151613,-0.165805,0.014192,0.001606
attn_L0_H4,2II1A,-0.136118,-0.154411,0.018292,0.001357
attn_L0_H4,2O2KA,-0.031760,-0.118177,0.086417,0.014292
attn_L0_H4,2OZEA,-0.161814,-0.169048,0.007233,0.000741
attn_L0_H4,2PJZA,-0.153608,-0.165338,0.011729,0.000876
attn_L0_H4,2WAWA,-0.147238,-0.160744,0.013506,0.000778
attn_L0_H4,2YC3A,-0.150068,-0.170787,0.020719,0.001981
attn_L0_H4,3BZMA,-0.157026,-0.163142,0.006115,0.002137
attn_L0_H4,3C8MA,-0.137056,-0.156557,0.019501,0.000990
attn_L0_H4,3EYEA,-0.151451,-0.170513,0.019062,0.001322
attn_L0_H4,3FF9A,-0.146717,-0.162443,0.015726,0.002688
attn_L0_H4,3FZ4A,-0.165984,-0.174874,0.008890,0.001026
attn_L0_H4,3G5TA,-0.126705,-0.150653,0.023949,0.001189
attn_L0_H4,3GX8A,-0.164784,-0.174124,0.009340,0.000959
attn_L0_H4,3JRNA,-0.149380,-0.166933,0.017553,0.001063
attn_L0_H4,3L51A,-0.141356,-0.158524,0.017168,0.001838
attn_L0_H4,3LWXA,-0.116508,-0.136826,0.020319,0.003114
attn_L0_H4,3N08A,-0.161055,-0.172202,0.011146,0.001142
attn_L0_H4,3NY7A,-0.124364,-0.152706,0.028342,0.002613
attn_L0_H4,3PU9A,-0.118301,-0.135369,0.017068,0.001155
attn_L0_H4,3R6DA,-0.169321,-0.178634,0.009313,0.000683
attn_L0_H4,3RHBA,-0.172843,-0.181174,0.008331,0.000621
attn_L0_H4,3ZSJA,-0.127364,-0.143850,0.016486,0.001277
attn_L0_H4,4GS1A,-0.128133,-0.141432,0.013299,0.001730
attn_L0_H4,4I8HA,-0.164249,-0.175543,0.011294,0.001735
attn_L0_H4,4K8WA,-0.119763,-0.141521,0.021759,0.002472
attn_L0_H4,4LBHA,-0.170875,-0.173342,0.002467,0.000283
attn_L0_H4,4LH6A,-0.144591,-0.166142,0.021551,0.001326
attn_L0_H4,4MUOA,-0.134099,-0.153977,0.019879,0.000967
attn_L0_H4,4MZCA,-0.159372,-0.168028,0.008656,0.001017
attn_L0_H4,4PEDA,-0.146088,-0.162433,0.016346,0.000644
attn_L0_H4,4RVCA,-0.146034,-0.166158,0.020125,0.001725
attn_L0_H4,4TL6A,-0.118232,-0.148178,0.029947,0.002033
attn_L0_H4,4WBJA,-0.133143,-0.162243,0.029100,0.002540
attn_L0_H4,4XRAA,-0.150784,-0.170164,0.019379,0.000920
attn_L0_H4,5AJGA,-0.145792,-0.161075,0.015283,0.000975
attn_L0_H5,1CUKA,-0.060070,-0.052807,-0.007262,-0.000563
attn_L0_H5,1F86A,-0.048206,-0.049791,0.001585,0.000134
attn_L0_H5,1G3QA,-0.047942,-0.046740,-0.001201,-0.000078
attn_L0_H5,1H4XA,-0.060762,-0.054267,-0.006495,-0.000277
attn_L0_H5,1HDKA,-0.046728,-0.044186,-0.002542,-0.000226
attn_L0_H5,1KMVA,-0.051167,-0.048565,-0.002602,-0.000148
attn_L0_H5,1S3CA,-0.059282,-0.052438,-0.006844,-0.001047
attn_L0_H5,1T2WA,-0.061480,-0.051725,-0.009755,-0.002094
attn_L0_H5,1U2KA,-0.059721,-0.053318,-0.006403,-0.000440
attn_L0_H5,2CZQA,-0.052232,-0.047077,-0.005155,-0.000351
attn_L0_H5,2D2EA,-0.053292,-0.047499,-0.005793,-0.000359
attn_L0_H5,2D59A,-0.053058,-0.048602,-0.004457,-0.000480
attn_L0_H5,2D5MA,-0.048731,-0.045394,-0.003337,-0.000276
attn_L0_H5,2DYIA,-0.057006,-0.050372,-0.006634,-0.000662
attn_L0_H5,2GK4A,-0.055754,-0.050465,-0.005288,-0.000598
attn_L0_H5,2II1A,-0.057648,-0.048942,-0.008706,-0.000646
attn_L0_H5,2O2KA,-0.080149,-0.061918,-0.018231,-0.003015
attn_L0_H5,2OZEA,-0.053354,-0.051136,-0.002218,-0.000227
attn_L0_H5,2PJZA,-0.055267,-0.050102,-0.005165,-0.000386
attn_L0_H5,2WAWA,-0.051770,-0.049921,-0.001849,-0.000106
attn_L0_H5,2YC3A,-0.049451,-0.046569,-0.002882,-0.000276
attn_L0_H5,3BZMA,-0.053136,-0.049750,-0.003385,-0.001183
attn_L0_H5,3C8MA,-0.049564,-0.046178,-0.003386,-0.000172
attn_L0_H5,3EYEA,-0.059481,-0.054944,-0.004536,-0.000315
attn_L0_H5,3FF9A,-0.068577,-0.062087,-0.006490,-0.001109
attn_L0_H5,3FZ4A,-0.054998,-0.049672,-0.005326,-0.000615
attn_L0_H5,3G5TA,-0.053409,-0.047712,-0.005696,-0.000283
attn_L0_H5,3GX8A,-0.047596,-0.045692,-0.001903,-0.000195
attn_L0_H5,3JRNA,-0.047162,-0.044153,-0.003010,-0.000182
attn_L0_H5,3L51A,-0.058563,-0.051515,-0.007048,-0.000754
attn_L0_H5,3LWXA,-0.047952,-0.046084,-0.001868,-0.000286
attn_L0_H5,3N08A,-0.047149,-0.044282,-0.002867,-0.000294
attn_L0_H5,3NY7A,-0.060878,-0.055045,-0.005833,-0.000538
attn_L0_H5,3PU9A,-0.070813,-0.061569,-0.009244,-0.000625
attn_L0_H5,3R6DA,-0.048127,-0.045759,-0.002368,-0.000174
attn_L0_H5,3RHBA,-0.052878,-0.050482,-0.002396,-0.000179
attn_L0_H5,3ZSJA,-0.048221,-0.047457,-0.000764,-0.000059
attn_L0_H5,4GS1A,-0.057865,-0.051931,-0.005934,-0.000772
attn_L0_H5,4I8HA,-0.041026,-0.037744,-0.003282,-0.000504
attn_L0_H5,4K8WA,-0.057109,-0.049916,-0.007193,-0.000817
attn_L0_H5,4LBHA,-0.047838,-0.045725,-0.002113,-0.000242
attn_L0_H5,4LH6A,-0.049310,-0.045999,-0.003311,-0.000204
attn_L0_H5,4MUOA,-0.055084,-0.049194,-0.005890,-0.000286
attn_L0_H5,4MZCA,-0.049848,-0.046183,-0.003664,-0.000431
attn_L0_H5,4PEDA,-0.051449,-0.044486,-0.006963,-0.000274
attn_L0_H5,4RVCA,-0.050070,-0.048494,-0.001576,-0.000135
attn_L0_H5,4TL6A,-0.066834,-0.061198,-0.005636,-0.000383
attn_L0_H5,4WBJA,-0.053021,-0.048945,-0.004076,-0.000356
attn_L0_H5,4XRAA,-0.045783,-0.039954,-0.005829,-0.000277
attn_L0_H5,5AJGA,-0.056786,-0.049119,-0.007667,-0.000489
attn_L0_H6,1CUKA,-0.275440,-0.272950,-0.002489,-0.000193
attn_L0_H6,1F86A,-0.272777,-0.274731,0.001954,0.000166
attn_L0_H6,1G3QA,-0.268791,-0.272893,0.004101,0.000266
attn_L0_H6,1H4XA,-0.272175,-0.272835,0.000660,0.000028
attn_L0_H6,1HDKA,-0.264606,-0.271418,0.006812,0.000606
attn_L0_H6,1KMVA,-0.258560,-0.270270,0.011710,0.000667
attn_L0_H6,1S3CA,-0.254179,-0.270688,0.016509,0.002525
attn_L0_H6,1T2WA,-0.231130,-0.247385,0.016256,0.003490
attn_L0_H6,1U2KA,-0.255782,-0.269621,0.013839,0.000951
attn_L0_H6,2CZQA,-0.237749,-0.252345,0.014596,0.000994
attn_L0_H6,2D2EA,-0.275226,-0.274756,-0.000469,-0.000029
attn_L0_H6,2D59A,-0.265610,-0.273610,0.008000,0.000862
attn_L0_H6,2D5MA,-0.259641,-0.262237,0.002595,0.000214
attn_L0_H6,2DYIA,-0.273869,-0.274171,0.000301,0.000030
attn_L0_H6,2GK4A,-0.257923,-0.274211,0.016288,0.001843
attn_L0_H6,2II1A,-0.225879,-0.245749,0.019870,0.001474
attn_L0_H6,2O2KA,-0.135461,-0.236638,0.101176,0.016733
attn_L0_H6,2OZEA,-0.268129,-0.276511,0.008382,0.000859
attn_L0_H6,2PJZA,-0.272523,-0.274674,0.002152,0.000161
attn_L0_H6,2WAWA,-0.252089,-0.262110,0.010021,0.000577
attn_L0_H6,2YC3A,-0.266768,-0.276562,0.009794,0.000937
attn_L0_H6,3BZMA,-0.257171,-0.264108,0.006937,0.002424
attn_L0_H6,3C8MA,-0.254500,-0.261778,0.007277,0.000369
attn_L0_H6,3EYEA,-0.263991,-0.279918,0.015927,0.001104
attn_L0_H6,3FF9A,-0.266932,-0.274099,0.007167,0.001225
attn_L0_H6,3FZ4A,-0.277658,-0.291248,0.013590,0.001568
attn_L0_H6,3G5TA,-0.211935,-0.245559,0.033625,0.001669
attn_L0_H6,3GX8A,-0.269966,-0.274032,0.004065,0.000417
attn_L0_H6,3JRNA,-0.266116,-0.278427,0.012311,0.000746
attn_L0_H6,3L51A,-0.269129,-0.284037,0.014908,0.001596
