protein,n_res,anchor_idx,n_active,clean_M_score,clean_M_attn,clean_score_rank,clean_attn_rank,ie_gap,ie_mass_anchor,ie_mass_near,full_M_score_frac,lat_M_score_frac,err_M_score_frac,k_50,k_80,k_90
3S4YA,247,127,31872,8.819039,0.967332,1,1,0.00000095,0.3395,0.3921,1.0000,0.8023,-0.2092,,,
3L8DA,242,119,31232,8.257415,0.973444,1,1,0.00000000,0.2503,0.2850,1.0000,0.6352,0.6609,1,2,10
3VOTA,425,284,54656,8.782415,0.956112,1,1,0.00000000,0.4059,0.4558,1.0000,0.5235,-1.1979,,,
2JCBA,200,130,25856,7.504463,0.968768,1,1,0.00000048,0.3480,0.3859,1.0000,0.8273,-0.1658,,,
3NY7A,118,50,15360,7.036750,0.980912,1,1,0.00000048,0.4029,0.4576,1.0000,0.9183,0.2008,,,
4RJ2A,237,84,30592,7.197550,0.900681,1,1,0.00000000,0.2772,0.3091,1.0000,0.7008,-0.0302,,,
3NRVA,148,100,19200,7.233079,0.772787,1,1,0.00000000,0.3217,0.3703,1.0000,0.1683,-0.1272,,,
4PEDA,393,89,50560,9.385581,0.658027,1,1,0.00000095,0.3356,0.3516,1.0000,0.7256,-0.4097,100,,
2OB0A,170,111,22016,7.623292,0.854712,1,1,0.00000000,0.2604,0.3174,1.0000,0.2923,-0.2372,,,
2CZQA,205,80,26496,7.945444,0.986122,1,1,0.00000000,0.3631,0.4023,1.0000,0.4181,-0.8096,,,
2EI9A,240,123,30976,8.115310,0.874299,1,1,0.00000000,0.3297,0.3489,1.0000,0.9711,-0.6208,,,
3HMCA,192,89,24832,7.664130,0.810281,1,1,0.00000048,0.4023,0.4794,1.0000,0.5100,-0.9456,,,
4LJRA,221,42,28544,6.811501,0.673785,1,1,0.00000095,0.3845,0.4210,1.0000,0.2513,-0.6318,,,
3RNRA,211,14,27264,6.713047,0.649636,1,1,0.00000000,0.3256,0.3524,1.0000,0.5409,-1.6369,,,
4B62A,157,78,20352,7.367407,0.978957,1,1,0.00000000,0.3910,0.4278,1.0000,1.0919,0.1485,,,
4K02A,159,98,20608,7.406383,0.947666,1,1,0.00000095,0.4175,0.4890,1.0000,0.5139,-0.3393,,,
3FUCA,284,110,36608,8.127392,0.968900,1,1,0.00000095,0.2866,0.3139,1.0000,0.6349,0.0681,,,
3OOPA,143,97,18560,6.990734,0.711052,1,1,0.00000000,0.3259,0.3772,1.0000,0.2867,0.0877,10,,
1HDKA,141,89,18304,7.194387,0.986057,1,1,0.00000000,0.4226,0.4692,1.0000,0.4999,-0.2982,500,,
1TUVA,114,67,14848,7.052446,0.962642,1,1,0.00000000,0.3757,0.4468,1.0000,0.7491,0.4216,500,,
4DE9A,286,114,36864,7.999156,0.944394,1,1,0.00000095,0.3504,0.3707,1.0000,0.7964,-0.0802,100,,
1S3CA,141,5,18304,6.135320,0.628308,1,1,0.00000048,0.4017,0.4586,1.0000,0.5943,-0.0844,,,
