feature,coefficient,abs_coefficient
aa_0_N,-1.425622,1.425622
aa_8_W,1.422557,1.422557
aa_-12_L,1.419302,1.419302
aa_10_Y,1.412969,1.412969
aa_5_C,1.408772,1.408772
aa_-16_M,-1.403183,1.403183
aa_-20_L,1.402621,1.402621
aa_1_M,1.397957,1.397957
aa_-4_Y,-1.390522,1.390522
aa_2_P,-1.388300,1.388300
aa_5_A,1.384662,1.384662
aa_-25_H,1.383556,1.383556
aa_23_S,-1.378560,1.378560
aa_24_Y,1.372830,1.372830
aa_27_T,-1.367117,1.367117
aa_6_G,1.363817,1.363817
aa_9_P,-1.363496,1.363496
aa_-17_Y,-1.359287,1.359287
aa_-25_D,1.358312,1.358312
aa_2_R,-1.355665,1.355665
aa_-6_D,1.351995,1.351995
aa_2_S,1.348188,1.348188
aa_-17_M,-1.346876,1.346876
aa_-17_L,-1.343574,1.343574
aa_1_E,1.337222,1.337222
aa_16_F,1.337150,1.337150
aa_15_I,-1.335248,1.335248
aa_-30_Y,1.331718,1.331718
aa_22_F,1.325610,1.325610
aa_0_W,-1.324815,1.324815
aa_-21_P,1.323111,1.323111
aa_16_R,1.321047,1.321047
aa_-18_N,1.320146,1.320146
aa_6_Q,-1.308553,1.308553
aa_30_C,1.306946,1.306946
aa_24_K,-1.303454,1.303454
aa_-4_V,-1.301304,1.301304
aa_0_F,1.301160,1.301160
aa_-9_S,-1.300613,1.300613
aa_-22_Q,1.295790,1.295790
aa_-15_E,1.293348,1.293348
aa_3_Q,-1.290881,1.290881
aa_-8_P,-1.282930,1.282930
aa_-11_E,-1.282415,1.282415
aa_29_C,1.276887,1.276887
aa_10_M,1.275733,1.275733
aa_-3_W,1.274933,1.274933
aa_25_C,1.268453,1.268453
aa_-30_R,-1.266160,1.266160
aa_20_I,-1.265515,1.265515
aa_21_F,-1.264333,1.264333
aa_-10_H,-1.245891,1.245891
aa_-7_C,1.245639,1.245639
aa_-17_N,-1.244429,1.244429
aa_-28_F,-1.243328,1.243328
aa_8_Q,-1.236485,1.236485
aa_12_K,-1.234782,1.234782
aa_16_C,1.234010,1.234010
aa_-6_M,-1.232563,1.232563
aa_-15_Y,-1.222954,1.222954
aa_29_H,-1.216170,1.216170
aa_3_G,1.197791,1.197791
aa_9_N,1.195048,1.195048
aa_-20_R,-1.180142,1.180142
aa_-22_M,-1.178891,1.178891
aa_15_N,1.177964,1.177964
aa_25_H,-1.169647,1.169647
aa_-26_D,1.166707,1.166707
aa_-26_W,1.163154,1.163154
aa_-25_F,-1.162441,1.162441
aa_6_M,1.161036,1.161036
aa_4_Q,-1.155997,1.155997
aa_29_M,1.154769,1.154769
aa_-14_I,1.154092,1.154092
aa_-4_G,1.153762,1.153762
aa_16_I,-1.153320,1.153320
aa_30_G,-1.150559,1.150559
aa_9_G,-1.145646,1.145646
aa_-1_E,-1.134033,1.134033
aa_17_I,1.133661,1.133661
aa_-1_L,1.128113,1.128113
aa_-25_L,-1.124423,1.124423
aa_8_T,-1.124131,1.124131
aa_-1_V,1.115296,1.115296
aa_-28_P,1.114134,1.114134
aa_1_K,-1.110165,1.110165
aa_23_A,1.109460,1.109460
aa_20_R,1.109111,1.109111
aa_2_K,-1.103593,1.103593
aa_-8_I,1.094721,1.094721
aa_4_Y,-1.093022,1.093022
aa_7_Y,1.092402,1.092402
aa_-15_N,-1.082918,1.082918
aa_-6_N,1.074610,1.074610
aa_-6_E,1.074250,1.074250
aa_-9_N,1.070919,1.070919
aa_21_K,1.069537,1.069537
aa_15_T,-1.067100,1.067100
aa_-20_I,-1.064923,1.064923
aa_19_N,1.061851,1.061851
aa_-25_N,1.051398,1.051398
aa_2_A,-1.050398,1.050398
aa_-16_L,-1.049206,1.049206
aa_26_C,-1.045908,1.045908
aa_-4_I,1.042743,1.042743
aa_-5_E,1.042078,1.042078
aa_-18_L,-1.040040,1.040040
aa_-23_V,-1.039565,1.039565
aa_7_N,-1.033975,1.033975
aa_-24_T,-1.029699,1.029699
aa_11_K,-1.027296,1.027296
aa_-3_C,-1.026943,1.026943
aa_10_G,1.024165,1.024165
aa_29_L,-1.023003,1.023003
aa_4_C,1.022061,1.022061
aa_-11_M,1.021832,1.021832
aa_-22_R,-1.021598,1.021598
aa_16_H,-1.019134,1.019134
aa_-24_N,1.017659,1.017659
aa_-27_C,-1.015918,1.015918
aa_-28_V,-1.014938,1.014938
aa_-26_E,1.008567,1.008567
aa_6_F,-1.007791,1.007791
aa_3_N,-1.004199,1.004199
aa_26_V,1.002034,1.002034
aa_30_T,-0.999602,0.999602
aa_11_N,0.997665,0.997665
aa_21_I,0.996449,0.996449
aa_18_G,-0.994427,0.994427
aa_-25_Y,0.989733,0.989733
aa_29_E,0.988594,0.988594
aa_14_P,-0.986672,0.986672
aa_0_S,-0.980960,0.980960
aa_-12_F,-0.978238,0.978238
aa_28_W,-0.977400,0.977400
aa_12_I,-0.972231,0.972231
aa_11_E,0.969096,0.969096
aa_29_R,0.968359,0.968359
aa_-4_T,-0.967796,0.967796
aa_-1_Q,0.966183,0.966183
aa_28_T,0.965646,0.965646
aa_-15_M,-0.965085,0.965085
aa_-20_C,0.961405,0.961405
aa_18_F,0.957571,0.957571
aa_3_D,0.951391,0.951391
aa_-14_R,0.949130,0.949130
aa_-11_C,-0.949114,0.949114
aa_22_Y,0.946232,0.946232
aa_28_Y,-0.941380,0.941380
aa_17_Q,0.938854,0.938854
aa_18_D,-0.937717,0.937717
aa_-23_D,0.934667,0.934667
aa_17_K,0.930730,0.930730
aa_-10_G,0.930415,0.930415
aa_14_F,0.928181,0.928181
aa_25_T,0.927256,0.927256
aa_20_A,0.926676,0.926676
aa_-28_I,0.926641,0.926641
aa_-21_C,-0.925521,0.925521
aa_-16_W,-0.922632,0.922632
aa_-28_M,-0.919944,0.919944
aa_23_F,-0.918887,0.918887
aa_19_H,0.917171,0.917171
aa_-20_V,0.916443,0.916443
aa_8_R,-0.907613,0.907613
aa_14_Y,-0.907178,0.907178
aa_-2_W,-0.903293,0.903293
aa_-24_D,-0.901699,0.901699
aa_-7_P,-0.898345,0.898345
aa_-2_M,-0.898117,0.898117
aa_-10_D,-0.897583,0.897583
aa_13_L,0.896677,0.896677
aa_-24_R,-0.891262,0.891262
aa_18_L,0.888581,0.888581
aa_7_T,-0.887693,0.887693
aa_22_S,0.878902,0.878902
aa_-9_Y,-0.876803,0.876803
aa_-14_N,-0.874536,0.874536
aa_4_A,0.870016,0.870016
aa_2_D,0.865277,0.865277
aa_5_E,0.863954,0.863954
aa_24_W,0.863071,0.863071
aa_21_H,-0.862436,0.862436
aa_-8_N,-0.860885,0.860885
aa_-30_V,-0.860504,0.860504
aa_-3_S,-0.856955,0.856955
aa_19_Q,-0.853293,0.853293
aa_1_L,0.852359,0.852359
aa_-18_T,0.851037,0.851037
aa_13_F,0.849535,0.849535
aa_-14_F,0.848294,0.848294
aa_-25_K,-0.846784,0.846784
aa_-10_Y,0.846391,0.846391
aa_7_S,-0.840215,0.840215
aa_7_I,0.838998,0.838998
aa_-30_T,-0.828728,0.828728
aa_-17_C,0.824570,0.824570
aa_24_G,-0.823465,0.823465
aa_6_L,-0.823324,0.823324
aa_13_I,-0.820993,0.820993
aa_2_V,0.820584,0.820584
aa_9_Q,-0.818086,0.818086
aa_-20_N,-0.817740,0.817740
aa_-1_M,0.813124,0.813124
aa_-14_C,0.811712,0.811712
aa_-24_P,0.811081,0.811081
aa_-2_Q,-0.807180,0.807180
aa_-9_D,-0.804208,0.804208
aa_-23_C,0.803160,0.803160
aa_-22_L,0.801303,0.801303
aa_-2_F,0.793834,0.793834
aa_-6_W,0.793516,0.793516
aa_-25_P,-0.791846,0.791846
aa_-9_I,0.785970,0.785970
aa_-29_V,0.785332,0.785332
aa_25_P,0.783445,0.783445
aa_20_E,-0.782618,0.782618
aa_-1_P,-0.778324,0.778324
aa_12_S,0.776333,0.776333
aa_17_W,-0.774679,0.774679
aa_-11_N,-0.764343,0.764343
aa_-12_W,-0.758322,0.758322
aa_9_L,0.758183,0.758183
aa_-2_K,0.757702,0.757702
aa_17_L,-0.755850,0.755850
aa_28_N,0.755384,0.755384
aa_13_W,-0.755287,0.755287
aa_-17_S,0.755215,0.755215
aa_-6_V,-0.753801,0.753801
aa_-4_C,0.751734,0.751734
aa_13_N,0.750224,0.750224
aa_13_Y,-0.749155,0.749155
aa_-29_I,0.747249,0.747249
aa_-2_R,-0.744083,0.744083
aa_-6_H,-0.743445,0.743445
aa_19_C,0.742289,0.742289
aa_-19_W,-0.742003,0.742003
aa_-15_Q,0.739554,0.739554
aa_-2_L,0.739112,0.739112
aa_25_V,0.736540,0.736540
aa_22_R,-0.727287,0.727287
aa_26_P,-0.726505,0.726505
aa_-16_K,-0.725842,0.725842
aa_23_V,-0.725428,0.725428
aa_-6_S,0.725196,0.725196
aa_-22_T,-0.723874,0.723874
aa_-3_A,0.723864,0.723864
aa_-29_W,-0.718326,0.718326
aa_16_K,0.717818,0.717818
aa_11_W,0.711088,0.711088
aa_-30_L,0.710937,0.710937
aa_6_I,0.707844,0.707844
aa_15_C,0.705822,0.705822
aa_25_M,-0.700169,0.700169
aa_-8_D,0.696695,0.696695
aa_-28_N,0.696410,0.696410
aa_-19_V,-0.695610,0.695610
aa_12_N,0.695329,0.695329
aa_-17_I,0.693764,0.693764
aa_22_W,0.693379,0.693379
aa_30_W,-0.693001,0.693001
aa_-23_I,-0.690992,0.690992
aa_-3_R,-0.690704,0.690704
aa_14_A,0.688410,0.688410
aa_13_C,-0.687370,0.687370
aa_-27_N,-0.687047,0.687047
aa_8_A,0.685603,0.685603
aa_19_I,0.685074,0.685074
aa_-14_H,-0.684934,0.684934
aa_13_P,-0.682480,0.682480
aa_19_K,0.679396,0.679396
aa_-27_W,0.679225,0.679225
aa_3_P,-0.678631,0.678631
aa_1_H,0.675648,0.675648
aa_-9_T,-0.673170,0.673170
aa_-29_Y,0.672586,0.672586
aa_-23_A,-0.672358,0.672358
aa_-18_F,-0.668656,0.668656
aa_17_V,-0.668460,0.668460
aa_-22_I,-0.668426,0.668426
aa_-3_E,-0.664376,0.664376
aa_-4_H,-0.661582,0.661582
aa_24_A,0.659302,0.659302
aa_3_I,-0.659264,0.659264
aa_26_M,0.657831,0.657831
aa_-7_M,-0.657194,0.657194
aa_30_K,0.655325,0.655325
aa_19_V,-0.653169,0.653169
aa_23_T,-0.652296,0.652296
aa_16_L,0.652199,0.652199
aa_-2_E,-0.651465,0.651465
aa_1_G,-0.651132,0.651132
aa_-5_A,-0.649393,0.649393
aa_-7_V,0.648725,0.648725
aa_5_P,-0.648047,0.648047
aa_-5_G,0.647719,0.647719
aa_6_Y,0.647077,0.647077
aa_13_M,0.645830,0.645830
aa_-19_G,0.643061,0.643061
aa_2_W,0.641946,0.641946
aa_-29_T,-0.639040,0.639040
aa_25_G,-0.638991,0.638991
aa_10_P,-0.636027,0.636027
aa_-14_T,-0.634813,0.634813
aa_-1_G,-0.633399,0.633399
aa_21_T,-0.631983,0.631983
aa_22_V,-0.630880,0.630880
aa_-5_S,0.630563,0.630563
aa_4_N,0.625685,0.625685
aa_-5_W,0.620356,0.620356
aa_16_G,-0.620041,0.620041
aa_3_C,-0.618460,0.618460
aa_2_C,0.617509,0.617509
aa_19_M,0.617002,0.617002
aa_-24_L,-0.616625,0.616625
aa_-23_W,0.616338,0.616338
aa_-25_C,-0.616217,0.616217
aa_-10_R,-0.614080,0.614080
aa_21_V,-0.613785,0.613785
aa_25_L,-0.613045,0.613045
aa_30_D,-0.612153,0.612153
aa_-3_G,-0.611237,0.611237
aa_20_D,0.608946,0.608946
aa_7_P,0.608613,0.608613
aa_4_M,-0.604746,0.604746
aa_9_W,-0.602654,0.602654
aa_-7_A,-0.602011,0.602011
aa_1_F,0.601315,0.601315
aa_-9_G,0.599827,0.599827
aa_-11_P,-0.597036,0.597036
aa_0_D,-0.592214,0.592214
aa_-2_S,-0.592136,0.592136
aa_20_K,-0.591171,0.591171
aa_28_A,-0.590397,0.590397
aa_28_C,0.589705,0.589705
aa_-11_L,0.586026,0.586026
aa_-26_T,-0.585953,0.585953
aa_3_L,0.585680,0.585680
aa_22_E,-0.584940,0.584940
aa_-15_D,-0.584532,0.584532
aa_23_L,0.584328,0.584328
aa_-17_E,0.582303,0.582303
aa_-10_L,0.581341,0.581341
aa_-24_A,-0.579172,0.579172
aa_10_I,-0.578193,0.578193
aa_-22_F,-0.577383,0.577383
aa_12_A,-0.577108,0.577108
aa_-29_M,-0.577088,0.577088
aa_19_T,-0.576574,0.576574
aa_-14_Y,-0.574923,0.574923
aa_-21_N,0.571879,0.571879
aa_16_N,-0.570936,0.570936
aa_-30_D,0.570809,0.570809
aa_1_A,-0.569094,0.569094
aa_5_Y,0.565552,0.565552
aa_28_L,0.563979,0.563979
aa_-18_E,-0.561613,0.561613
aa_20_W,-0.561203,0.561203
aa_-24_S,0.559724,0.559724
aa_-28_C,-0.559261,0.559261
aa_-5_T,-0.557915,0.557915
aa_-8_Y,0.557816,0.557816
aa_-20_E,-0.557411,0.557411
aa_-6_Q,-0.556472,0.556472
aa_21_E,0.555137,0.555137
aa_-11_I,0.552945,0.552945
aa_-26_P,0.551855,0.551855
aa_5_S,-0.549377,0.549377
aa_-27_I,0.547785,0.547785
aa_-27_T,-0.546956,0.546956
aa_5_F,0.543682,0.543682
aa_2_Y,-0.542404,0.542404
aa_22_P,-0.541485,0.541485
aa_-5_Q,0.539013,0.539013
aa_-6_Y,0.537976,0.537976
aa_3_T,0.536252,0.536252
aa_-14_D,-0.536081,0.536081
aa_-7_S,0.535638,0.535638
aa_-26_L,-0.534462,0.534462
aa_-5_K,-0.533081,0.533081
aa_24_H,-0.532178,0.532178
aa_-12_T,-0.531489,0.531489
aa_-30_P,0.531389,0.531389
aa_-3_V,0.529273,0.529273
aa_29_T,0.521389,0.521389
aa_6_S,0.518559,0.518559
aa_-27_S,-0.516009,0.516009
aa_-25_M,-0.515936,0.515936
aa_15_E,-0.515608,0.515608
aa_28_K,0.514833,0.514833
aa_5_G,-0.511944,0.511944
aa_20_M,0.511464,0.511464
aa_-12_S,0.506695,0.506695
aa_-21_W,-0.504675,0.504675
aa_-21_Y,-0.503940,0.503940
aa_-5_C,0.502887,0.502887
aa_14_M,0.502002,0.502002
aa_9_R,0.501712,0.501712
aa_18_N,-0.499806,0.499806
aa_28_F,-0.498611,0.498611
aa_26_Q,0.494715,0.494715
aa_5_H,0.492996,0.492996
aa_-2_P,0.492529,0.492529
aa_25_W,0.492265,0.492265
aa_-21_M,-0.492130,0.492130
aa_4_R,-0.490623,0.490623
aa_-18_I,-0.489352,0.489352
aa_16_M,-0.488658,0.488658
aa_-4_E,-0.488622,0.488622
aa_-17_K,-0.485457,0.485457
aa_-17_V,0.485233,0.485233
aa_27_L,-0.480924,0.480924
aa_8_V,-0.480714,0.480714
aa_10_V,0.480625,0.480625
aa_-26_S,-0.478208,0.478208
aa_-27_D,0.478149,0.478149
aa_29_F,0.477716,0.477716
aa_30_V,0.477570,0.477570
aa_-28_A,0.476578,0.476578
aa_-9_K,0.476162,0.476162
aa_-30_Q,0.475396,0.475396
aa_16_T,0.472411,0.472411
aa_15_G,0.472335,0.472335
aa_-26_A,0.472170,0.472170
aa_-9_L,0.470854,0.470854
aa_17_F,-0.470548,0.470548
aa_-21_E,-0.469133,0.469133
aa_12_P,0.468627,0.468627
aa_9_A,0.467631,0.467631
aa_-8_W,0.466896,0.466896
aa_-26_I,-0.464792,0.464792
aa_1_D,-0.462834,0.462834
aa_-20_M,-0.462550,0.462550
aa_19_G,0.461383,0.461383
aa_18_M,-0.460847,0.460847
aa_-10_E,0.460755,0.460755
aa_-17_H,-0.459610,0.459610
aa_14_C,0.459577,0.459577
aa_22_T,0.457810,0.457810
aa_21_A,0.456384,0.456384
aa_-19_C,-0.456300,0.456300
aa_19_F,-0.455215,0.455215
aa_-11_S,-0.455123,0.455123
aa_14_V,0.455066,0.455066
aa_-27_Y,0.454998,0.454998
aa_-26_V,-0.453609,0.453609
aa_-5_F,-0.453186,0.453186
aa_30_S,0.452859,0.452859
aa_2_N,-0.452695,0.452695
aa_-26_Q,-0.452052,0.452052
aa_28_P,0.450353,0.450353
aa_7_M,-0.449771,0.449771
aa_19_E,-0.446919,0.446919
aa_12_M,0.446215,0.446215
aa_18_K,0.445651,0.445651
aa_22_A,0.445162,0.445162
aa_-3_N,-0.444649,0.444649
aa_-19_Q,0.443026,0.443026
aa_-11_W,0.442643,0.442643
aa_-17_D,0.442160,0.442160
aa_22_I,0.440241,0.440241
aa_30_E,0.439978,0.439978
aa_-21_G,0.439855,0.439855
aa_14_S,-0.437248,0.437248
aa_11_G,-0.437188,0.437188
aa_29_A,-0.436041,0.436041
aa_-13_T,0.434055,0.434055
aa_-13_I,-0.434007,0.434007
aa_14_W,0.433814,0.433814
aa_16_S,0.432926,0.432926
aa_21_N,0.431363,0.431363
aa_-12_E,0.431080,0.431080
aa_-27_V,0.430978,0.430978
aa_18_Y,-0.428289,0.428289
aa_23_D,0.428287,0.428287
aa_-20_F,0.425669,0.425669
aa_9_K,-0.423315,0.423315
aa_25_N,0.422304,0.422304
aa_7_W,0.420644,0.420644
aa_23_I,0.420056,0.420056
aa_-27_K,0.418674,0.418674
aa_-10_T,0.413980,0.413980
aa_16_Q,-0.410603,0.410603
aa_23_E,-0.410256,0.410256
aa_27_R,-0.410139,0.410139
aa_24_V,0.409649,0.409649
aa_28_Q,-0.409333,0.409333
aa_-25_W,0.409174,0.409174
aa_9_E,-0.408839,0.408839
aa_-28_H,0.408200,0.408200
aa_-12_I,0.407601,0.407601
aa_30_Q,0.407158,0.407158
aa_-2_Y,0.405679,0.405679
aa_-16_H,0.404089,0.404089
aa_-11_Y,0.403513,0.403513
aa_-10_W,0.399695,0.399695
aa_-14_Q,0.396434,0.396434
aa_-25_R,0.396393,0.396393
aa_-29_F,-0.395519,0.395519
aa_17_E,0.394771,0.394771
aa_3_S,0.393888,0.393888
aa_8_Y,0.392275,0.392275
aa_-13_E,0.391883,0.391883
aa_-7_G,0.387679,0.387679
aa_21_L,0.387259,0.387259
aa_10_N,0.382935,0.382935
aa_-17_T,-0.382679,0.382679
aa_15_H,-0.381600,0.381600
aa_-3_F,0.380467,0.380467
aa_-15_R,0.376731,0.376731
aa_-27_E,0.374710,0.374710
aa_-14_M,0.373075,0.373075
aa_-4_F,-0.371845,0.371845
aa_13_V,-0.370801,0.370801
aa_-29_L,-0.370243,0.370243
aa_22_Q,0.370073,0.370073
aa_20_C,-0.370022,0.370022
aa_25_E,0.370006,0.370006
aa_-16_E,0.368112,0.368112
aa_21_C,-0.366977,0.366977
aa_-12_V,0.365484,0.365484
aa_8_H,0.364118,0.364118
aa_27_D,-0.363901,0.363901
aa_-30_C,-0.363052,0.363052
aa_-13_G,0.362978,0.362978
aa_-12_Q,-0.362192,0.362192
aa_25_R,-0.361781,0.361781
aa_-16_N,-0.361577,0.361577
aa_-15_P,-0.360043,0.360043
aa_-22_N,0.358966,0.358966
aa_8_M,0.358493,0.358493
aa_29_N,0.356840,0.356840
aa_-20_Q,-0.356633,0.356633
aa_-16_F,0.354446,0.354446
aa_-21_A,-0.353000,0.353000
aa_-6_A,0.351806,0.351806
aa_20_N,-0.347147,0.347147
aa_-7_I,0.344141,0.344141
aa_-18_H,-0.343414,0.343414
aa_-16_V,-0.343316,0.343316
aa_-20_T,-0.343092,0.343092
aa_-4_S,-0.343044,0.343044
aa_3_F,-0.341023,0.341023
aa_4_F,0.340675,0.340675
aa_5_R,-0.340449,0.340449
aa_-19_P,0.340145,0.340145
aa_-17_W,-0.338712,0.338712
aa_-23_M,0.335537,0.335537
aa_10_T,-0.334552,0.334552
aa_-18_S,-0.334453,0.334453
aa_10_W,-0.333637,0.333637
aa_-12_K,0.332527,0.332527
aa_-16_Y,-0.332370,0.332370
aa_-19_N,-0.332141,0.332141
aa_-18_R,0.330941,0.330941
aa_-5_R,-0.329209,0.329209
aa_-2_V,0.329078,0.329078
aa_-28_E,0.328984,0.328984
aa_29_V,-0.327616,0.327616
aa_-14_P,0.325802,0.325802
aa_21_Y,-0.324816,0.324816
aa_-18_D,-0.322877,0.322877
aa_-12_Y,-0.322730,0.322730
aa_-22_P,0.321991,0.321991
aa_-20_K,0.321623,0.321623
aa_6_P,-0.321134,0.321134
aa_11_S,-0.321130,0.321130
aa_15_P,-0.320595,0.320595
aa_4_S,0.320232,0.320232
aa_1_C,-0.318693,0.318693
aa_6_E,-0.316562,0.316562
aa_-16_S,0.315657,0.315657
aa_-2_C,-0.315306,0.315306
aa_-16_P,0.314220,0.314220
aa_29_I,-0.313065,0.313065
