chain_key,hdbscan_R_AA,hdbscan_R_3Di,hdbscan_R_K,hdbscan_R_Q,hdbscan_R_LN10,hdbscan_R_LN10_rand,hdbscan_R_LN10_mean
4etw_A,0,0,1,4,4,-1,1
2pl5_A,-1,0,1,4,4,-1,1
3fob_C,0,0,1,4,4,-1,1
4hs9_A,-1,0,-1,-1,-1,-1,-1
2r11_D,0,0,1,4,4,-1,1
3llc_A,-1,0,1,4,4,-1,1
7wwf_B,-1,0,-1,-1,-1,-1,1
5frd_A,0,0,-1,1,3,-1,1
2y6u_A,0,0,1,4,4,-1,1
4q34_A,0,0,1,4,4,-1,1
1imj_A,0,0,1,4,4,-1,1
4ccy_B,0,0,1,4,4,-1,1
6brt_B,0,0,1,4,4,-1,1
1y7i_B,0,0,1,4,4,-1,1
2yys_A,0,0,1,4,4,-1,1
6kf1_D,0,0,2,1,3,-1,1
4e15_B,-1,0,2,1,3,-1,1
3qh4_A,0,0,2,1,3,-1,1
1vkh_A,0,0,1,-1,-1,-1,1
5mii_A,0,0,2,1,3,-1,1
4c88_C,0,0,2,1,3,-1,1
1jji_B,0,0,2,1,3,-1,1
4kry_E,0,0,2,1,3,-1,1
2qru_A,0,0,2,1,3,-1,1
2zsi_A,0,0,2,1,3,-1,1
1jjf_A,0,0,1,4,4,-1,1
1sfr_A,-1,0,2,1,3,-1,1
3gff_B,0,0,1,4,4,-1,1
2uz0_A,-1,0,2,1,3,-1,1
4w9r_B,0,0,1,4,4,-1,-1
3mga_A,0,0,1,4,4,-1,-1
4h18_A,-1,0,2,1,3,-1,1
2qm0_B,0,0,1,4,4,-1,1
1pv1_B,-1,0,1,4,4,-1,1
3ew3_B,-1,1,0,0,0,-1,0
3hhr_B,-1,1,0,0,0,-1,0
2h41_A,-1,-1,0,0,0,-1,0
1cfb_A,-1,1,0,0,0,-1,0
5e7l_A,-1,1,0,0,0,-1,0
4zxb_E,-1,-1,-1,-1,-1,-1,-1
5c3t_A,0,1,0,0,0,-1,0
5b21_B,0,1,0,0,0,-1,0
5eu6_D,-1,0,0,0,0,-1,0
1oaq_L,0,1,0,0,0,-1,0
3bj9_1,0,1,0,0,0,-1,0
2ibz_X,0,1,0,0,0,-1,0
6ns1_A,0,1,0,0,0,-1,0
1dcl_B,0,0,0,0,0,-1,0
1a14_L,0,1,0,0,0,-1,0
5c0c_J,0,0,0,0,0,-1,0
1koa_A,-1,-1,-1,-1,-1,-1,-1
5jdj_B,-1,0,0,0,0,-1,0
5eo9_B,0,1,0,0,0,-1,0
5k6w_A,0,0,0,0,0,-1,0
2j8o_B,-1,1,0,0,0,-1,0
4cbp_B,-1,0,0,0,0,-1,0
3kvq_A,-1,0,0,0,0,-1,0
4u7m_A,0,0,0,0,0,-1,0
