protein,mode,alpha,segment_metric,delta_from_baseline,n_active_heads,active_head_labels,mean_anchor_mass,mean_top1_mass,mean_top3_mass,mean_entropy_norm,sum_anchor_mass,sum_top3_mass
2B61A,ln_all,0.0,1.0,0.0,2,"['L11H16', 'L15H2']",0.5144206453114748,0.17244639992713928,0.4196617156267166,0.6614361789453158,1.0288412906229496,0.8393234312534332
2B61A,ln_all,0.5,1.0086312294006348,0.008631229400634766,2,"['L11H16', 'L15H2']",0.2767419486772269,0.16243194788694382,0.3001853972673416,0.7801277496259083,0.5534838973544538,0.6003707945346832
2B61A,ln_all,1.0,1.0161044597625732,0.016104459762573242,2,"['L11H16', 'L15H2']",0.13839888421352953,0.1468973197042942,0.2631761133670807,0.8240807757809532,0.27679776842705905,0.5263522267341614
2B61A,ln_all,2.0,1.026185154914856,0.026185154914855957,2,"['L11H16', 'L15H2']",0.01996783747745212,0.1629306524991989,0.23149783164262772,0.8415295782270025,0.03993567495490424,0.46299566328525543
2B61A,ln_all,4.0,1.0334407091140747,0.03344070911407471,2,"['L11H16', 'L15H2']",0.00040513719594059694,0.16515426337718964,0.23203746229410172,0.8418414739027412,0.0008102743918811939,0.46407492458820343
2B61A,ln_all,8.0,1.0702208280563354,0.07022082805633545,2,"['L11H16', 'L15H2']",1.060094649340225e-06,0.16248255223035812,0.226835198700428,0.8428269984937209,2.12018929868045e-06,0.453670397400856
2B61A,ln_all,12.0,1.0789532661437988,0.07895326614379883,2,"['L11H16', 'L15H2']",8.567332600725123e-09,0.15232353657484055,0.21649377048015594,0.8500665941103651,1.7134665201450246e-08,0.4329875409603119
1PVGA,k_only,0.0,1.0,0.0,3,"['L11H16', 'L13H18', 'L14H9']",0.5790066557625929,0.41188785433769226,0.5650565028190613,0.5436950644445336,1.7370199672877789,1.6951695084571838
1PVGA,k_only,0.5,0.9992159605026245,-0.0007840394973754883,3,"['L11H16', 'L13H18', 'L14H9']",0.5257704413185517,0.3803374022245407,0.5225739777088165,0.5830493834612169,1.577311323955655,1.5677219331264496
1PVGA,k_only,1.0,0.9986656308174133,-0.00133436918258667,3,"['L11H16', 'L13H18', 'L14H9']",0.47159346596648294,0.3466203957796097,0.479095458984375,0.6213168758556132,1.4147803978994489,1.437286376953125
1PVGA,k_only,2.0,0.9977478384971619,-0.0022521615028381348,3,"['L11H16', 'L13H18', 'L14H9']",0.3656603330746293,0.27646702776352566,0.39423877994219464,0.6906166512726039,1.096980999223888,1.1827163398265839
1PVGA,k_only,4.0,0.9954491257667542,-0.00455087423324585,3,"['L11H16', 'L13H18', 'L14H9']",0.19111651508137584,0.1495942324399948,0.27221497396628064,0.7857638283305427,0.5733495452441275,0.8166449218988419
1PVGA,k_only,8.0,0.9929357767105103,-0.007064223289489746,3,"['L11H16', 'L13H18', 'L14H9']",0.032422827440313995,0.10503995915253957,0.18186549097299576,0.8381325212538467,0.09726848232094198,0.5455964729189873
1PVGA,k_only,12.0,0.991737961769104,-0.008262038230895996,3,"['L11H16', 'L13H18', 'L14H9']",0.005515947142460694,0.11094994905094306,0.1889090190331141,0.8381282862835945,0.016547841427382082,0.5667270570993423
1PVGA,v_only,0.0,1.0,0.0,3,"['L11H16', 'L13H18', 'L14H9']",0.5790066557625929,0.41188785433769226,0.5650565028190613,0.5436950644445336,1.7370199672877789,1.6951695084571838
1PVGA,v_only,0.5,1.0059094429016113,0.005909442901611328,3,"['L11H16', 'L13H18', 'L14H9']",0.5748181696981192,0.40793535113334656,0.5604687829812368,0.5474238462266504,1.7244545090943575,1.6814063489437103
1PVGA,v_only,1.0,1.011165976524353,0.011165976524353027,3,"['L11H16', 'L13H18', 'L14H9']",0.570165595660607,0.40359381834665936,0.5554377138614655,0.5514929042177084,1.710496786981821,1.6663131415843964
1PVGA,v_only,2.0,1.0199114084243774,0.01991140842437744,3,"['L11H16', 'L13H18', 'L14H9']",0.55970584290723,0.39389529327551526,0.5442867875099182,0.5603881489117098,1.6791175287216902,1.6328603625297546
1PVGA,v_only,4.0,1.0316367149353027,0.031636714935302734,3,"['L11H16', 'L13H18', 'L14H9']",0.5362210217863321,0.37176990509033203,0.519694189230601,0.5791310685061247,1.6086630653589964,1.559082567691803
1PVGA,v_only,8.0,1.0254311561584473,0.025431156158447266,3,"['L11H16', 'L13H18', 'L14H9']",0.4939027012636264,0.359491765499115,0.4847301443417867,0.6064568489758825,1.4817081037908792,1.45419043302536
1PVGA,v_only,12.0,0.9363054037094116,-0.06369459629058838,3,"['L11H16', 'L13H18', 'L14H9']",0.3740526847541332,0.3054005429148674,0.38414405783017475,0.6816038222644618,1.1221580542623997,1.1524321734905243
1PVGA,ln_all,0.0,1.0,0.0,3,"['L11H16', 'L13H18', 'L14H9']",0.5790066557625929,0.41188785433769226,0.5650565028190613,0.5436950644445336,1.7370199672877789,1.6951695084571838
1PVGA,ln_all,0.5,1.0023654699325562,0.0023654699325561523,3,"['L11H16', 'L13H18', 'L14H9']",0.3087970670312643,0.23469830801089606,0.3544973333676656,0.7215795501489515,0.9263912010937929,1.0634920001029968
1PVGA,ln_all,1.0,0.9818681478500366,-0.01813185214996338,3,"['L11H16', 'L13H18', 'L14H9']",0.12373777106404305,0.11195220922430356,0.23562509566545486,0.8060235426800434,0.37121331319212914,0.7068752869963646
1PVGA,ln_all,2.0,0.9337527751922607,-0.06624722480773926,3,"['L11H16', 'L13H18', 'L14H9']",0.011767812102334574,0.12104144195715587,0.20640484243631363,0.8238825765219158,0.03530343630700372,0.6192145273089409
1PVGA,ln_all,4.0,0.8370047211647034,-0.16299527883529663,3,"['L11H16', 'L13H18', 'L14H9']",0.0006801883938957568,0.12735191360116005,0.2169687400261561,0.815485506712213,0.0020405651816872705,0.6509062200784683
1PVGA,ln_all,8.0,0.7318887710571289,-0.2681112289428711,3,"['L11H16', 'L13H18', 'L14H9']",0.0005740070590953458,0.12288177758455276,0.21210368971029916,0.8185980090516997,0.0017220211772860372,0.6363110691308975
1PVGA,ln_all,12.0,0.09129723161458969,-0.9087027683854103,3,"['L11H16', 'L13H18', 'L14H9']",0.001542699373697135,0.13645423700412115,0.22709912558396658,0.7833111416580477,0.004628098121091405,0.6812973767518997
