protein,n_res,metric,R_25,R_50,R_80,R_90
4K8WA,129,score,5,30,30,40
4K8WA,129,attn_mass,30,30,30,30
4LBHA,100,alpha,12,12,15,15
4LBHA,100,score,5,12,15,15
4LBHA,100,attn_mass,12,12,15,15
4LH6A,323,alpha,60,60,60,60
4LH6A,323,score,5,60,120,120
4LH6A,323,attn_mass,60,60,80,120
4MUOA,328,alpha,60,60,60,80
4MUOA,328,score,5,60,80,120
4MUOA,328,attn_mass,60,60,60,60
4MZCA,111,alpha,15,15,20,20
4MZCA,111,score,5,20,20,20
4MZCA,111,attn_mass,15,15,20,20
4PEDA,393,alpha,60,60,60,60
4PEDA,393,score,5,60,full,full
4PEDA,393,attn_mass,60,60,60,60
4RVCA,245,alpha,30,30,40,60
4RVCA,245,score,5,40,80,120
4RVCA,245,attn_mass,30,40,80,80
4TL6A,253,alpha,40,60,60,60
4TL6A,253,score,60,60,80,120
4TL6A,253,attn_mass,60,60,60,80
4WBJA,164,alpha,30,30,30,30
4WBJA,164,score,5,30,30,40
4WBJA,164,attn_mass,30,30,30,40
4XRAA,186,alpha,30,30,40,80
4XRAA,186,score,30,30,60,full
4XRAA,186,attn_mass,30,30,30,60
5AJGA,329,alpha,60,60,80,120
5AJGA,329,score,5,80,120,120
5AJGA,329,attn_mass,60,60,120,120
