i,j,tm,seqid,anchor_col_dist,category,pfam_i,pfam_j,hsf_i,hsf_j,set_i,set_j
6won_G,1bdb_A,0.8107,0.2488479262672811,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3rd5_A,0.556,0.17616580310880828,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1mg5_B,0.7297,0.20465116279069767,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1sny_A,0.7434,0.19117647058823528,89,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4qtz_A,0.6237,0.11,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2z1m_A,0.6094,0.13658536585365855,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,5zec_A,0.6429,0.1111111111111111,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1fxs_A,0.5152,0.12135922330097088,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3gpi_A,0.5046,0.13793103448275862,95,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3sxp_D,0.5226,0.09947643979057591,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,6yj4_P,0.6059,0.16753926701570682,95,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2hrz_A,0.6136,0.125,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2x4g_A,0.5197,0.12849162011173185,95,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4idg_B,0.5446,0.1330049261083744,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3ip1_B,0.2592,0.07602339181286549,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4rvu_A,0.2748,0.0440251572327044,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,7cyi_D,0.2427,0.05649717514124294,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4jbi_M,0.209,0.06451612903225806,340,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3gaz_B,0.2588,0.07272727272727272,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1zsy_A,0.2821,0.06875,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4gi2_B,0.3088,0.09424083769633508,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1q1n_A,0.2568,0.06790123456790123,340,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2zb8_A,0.2654,0.08227848101265822,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4eye_A,0.2701,0.07792207792207792,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3gfb_A,0.2472,0.05847953216374269,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2j8z_A,0.2615,0.0375,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4gi2_A,0.31,0.09424083769633508,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3m6i_B,0.2879,0.05847953216374269,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1yb5_A,0.263,0.07006369426751592,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,5a4d_G,0.271,0.06369426751592357,340,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1ps0_A,0.2396,0.06790123456790123,340,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4a27_A,0.2412,0.05161290322580645,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4ilk_A,0.2676,0.07142857142857142,340,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4dvj_B,0.2677,0.06875,340,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3euw_D,0.2348,0.07476635514018691,69,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3hnp_B,0.2182,0.056074766355140186,69,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3kux_A,0.156,0.05504587155963303,69,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3wbf_B,0.2594,0.07339449541284404,69,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,4ew6_A,0.1471,0.05405405405405406,69,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3oqb_H,0.1593,0.10687022900763359,69,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3ezy_A,0.2966,0.05555555555555555,253,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,2p2s_B,0.2527,0.06363636363636363,253,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,3oa2_B,0.3295,0.034782608695652174,69,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,1gcu_A,0.184,0.056074766355140186,69,cross_pfam_same_hsf,PF13561,PF01408,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
6won_G,5a62_A,0.2048,0.13333333333333333,305,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4nvr_A,0.1512,0.06666666666666667,303,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2xt0_A,0.2132,0.07096774193548387,303,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,1u2e_A,0.1681,0.042682926829268296,306,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4y7d_A,0.1928,0.05952380952380952,305,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4etw_A,0.2062,0.07096774193548387,306,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2pl5_A,0.1355,0.045,306,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,3fob_C,0.1735,0.07878787878787878,306,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4hs9_A,0.2774,0.09036144578313253,87,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2r11_D,0.2154,0.03597122302158273,305,cross_hsf_same_fold,PF13561,PF00561,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,3llc_A,0.1309,0.0896551724137931,303,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,7wwf_B,0.2477,0.05714285714285714,216,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,5frd_A,0.1961,0.036231884057971016,216,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2y6u_A,0.1639,0.08333333333333333,303,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4q34_A,0.137,0.05405405405405406,303,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,1imj_A,0.1241,0.09565217391304348,90,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4ccy_B,0.1874,0.06293706293706294,305,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,6brt_B,0.192,0.037037037037037035,306,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,1y7i_B,0.1714,0.03205128205128205,305,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2yys_A,0.2583,0.0784313725490196,305,cross_hsf_same_fold,PF13561,PF12697,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,6kf1_D,0.1792,0.05714285714285714,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4e15_B,0.2043,0.12403100775193798,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,3qh4_A,0.1404,0.10144927536231885,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,1vkh_A,0.2986,0.06923076923076923,303,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,5mii_A,0.1751,0.09219858156028368,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4c88_C,0.2686,0.06756756756756757,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,1jji_B,0.239,0.1,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4kry_E,0.197,0.07042253521126761,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2qru_A,0.1435,0.11538461538461539,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2zsi_A,0.1219,0.08904109589041095,216,cross_hsf_same_fold,PF13561,PF07859,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,1jjf_A,0.1103,0.034482758620689655,90,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,1sfr_A,0.1397,0.0684931506849315,216,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,3gff_B,0.1574,0.07344632768361582,304,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2uz0_A,0.1712,0.07258064516129033,216,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4w9r_B,0.1281,0.04878048780487805,304,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,3mga_A,0.1032,0.040697674418604654,90,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,4h18_A,0.1413,0.07142857142857142,216,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,2qm0_B,0.1708,0.02877697841726619,303,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,1pv1_B,0.09963,0.07692307692307693,303,cross_hsf_same_fold,PF13561,PF00756,3.40.50.720,3.40.50.1820,A_3.40.50.720,B_3.40.50.1820
6won_G,3ew3_B,0.02774,,537,cross_fold,PF13561,PF00041,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,3hhr_B,0.04533,,705,cross_fold,PF13561,PF00041,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,2h41_A,0.06214,,619,cross_fold,PF13561,PF00041,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,1cfb_A,0.0451,,380,cross_fold,PF13561,PF00041,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,5e7l_A,0.02469,,537,cross_fold,PF13561,PF00041,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,4zxb_E,0.0897,0.07239819004524888,123,cross_fold,PF13561,PF00041,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,5c3t_A,0.05466,,535,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,5b21_B,0.06099,,535,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,5eu6_D,0.05123,,618,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,1oaq_L,0.07688,,535,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,3bj9_1,0.07744,,535,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,2ibz_X,0.06247,,535,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,6ns1_A,0.04563,,535,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,1dcl_B,0.04166,,618,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,1a14_L,0.05964,,535,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,5c0c_J,0.0471,,618,cross_fold,PF13561,PF07686,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,1koa_A,0.0663,0.05844155844155844,29,cross_fold,PF13561,PF07679,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,5jdj_B,0.08217,,438,cross_fold,PF13561,PF07679,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,5eo9_B,0.03809,,535,cross_fold,PF13561,PF07679,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,5k6w_A,0.03829,0.05755395683453238,618,cross_fold,PF13561,PF07679,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,2j8o_B,0.03439,,705,cross_fold,PF13561,PF07679,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,4cbp_B,0.03907,,618,cross_fold,PF13561,PF07679,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,3kvq_A,0.09403,,618,cross_fold,PF13561,PF07679,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
6won_G,4u7m_A,0.03311,,438,cross_fold,PF13561,PF07679,3.40.50.720,2.60.40.10,A_3.40.50.720,C_2.60.40.10
2foi_A,2ag5_A,0.6444,0.1564245810055866,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3ged_B,0.6288,0.16091954022988506,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3u4c_A,0.6635,0.15343915343915343,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3oig_A,0.7736,0.32142857142857145,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,5ovk_A,0.6474,0.14035087719298245,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1w6u_A,0.6921,0.1774193548387097,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,5k9z_B,0.6469,0.143646408839779,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1vl8_B,0.7248,0.16666666666666666,0,within_pfam,PF13561,PF13561,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1xg5_C,0.7046,0.1746031746031746,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4dry_C,0.6871,0.15591397849462366,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4fd3_D,0.5694,0.18137254901960784,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,2rhc_B,0.6569,0.15425531914893617,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,2yut_A,0.619,0.12574850299401197,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1fmc_B,0.704,0.20903954802259886,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1bdb_A,0.6495,0.1564245810055866,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3rd5_A,0.6058,0.12941176470588237,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1mg5_B,0.5956,0.1358695652173913,0,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1sny_A,0.6603,0.1807909604519774,89,cross_pfam_same_hsf,PF13561,PF00106,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4qtz_A,0.4459,0.08024691358024691,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,2z1m_A,0.4889,0.11320754716981132,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,5zec_A,0.5331,0.09883720930232558,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1fxs_A,0.4302,0.1342281879194631,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3gpi_A,0.3964,0.12030075187969924,95,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3sxp_D,0.4667,0.09032258064516129,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,6yj4_P,0.4252,0.08843537414965986,95,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,2hrz_A,0.4964,0.13291139240506328,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,2x4g_A,0.4433,0.08823529411764706,95,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4idg_B,0.4463,0.07894736842105263,1,cross_pfam_same_hsf,PF13561,PF01370,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3ip1_B,0.3858,0.07352941176470588,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4rvu_A,0.3517,0.07563025210084033,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,7cyi_D,0.3492,0.03571428571428571,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4jbi_M,0.3349,0.016666666666666666,340,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3gaz_B,0.3206,0.059322033898305086,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1zsy_A,0.3501,0.02564102564102564,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4gi2_B,0.3851,0.02,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1q1n_A,0.3634,0.007936507936507936,340,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,2zb8_A,0.2933,0.05042016806722689,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4eye_A,0.3003,0.08035714285714286,94,cross_pfam_same_hsf,PF13561,PF00107,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3gfb_A,0.3234,0.05384615384615385,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,2j8z_A,0.3728,0.05217391304347826,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,4gi2_A,0.3852,0.02,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,3m6i_B,0.3811,0.06766917293233082,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
2foi_A,1yb5_A,0.3433,0.07692307692307693,94,cross_pfam_same_hsf,PF13561,PF08240,3.40.50.720,3.40.50.720,A_3.40.50.720,A_3.40.50.720
