protein,seq_len,n_long_range_contacts,anchor_positions,n_anchors_steered,alpha,P_L5,P_L2,P_L,kl_div,l10h9_top3_mass
1BS0A,384,643,[201],1,0.5,0.9868421052631579,0.84375,0.671875,0.0006363825523294508,0.8232409954071045
1BS0A,384,643,[201],1,1.0,0.9868421052631579,0.84375,0.6744791666666666,0.001448441413231194,0.8832319378852844
1BS0A,384,643,[201],1,2.0,0.9868421052631579,0.8489583333333334,0.6744791666666666,0.0031531115528196096,0.8910560011863708
1BS0A,384,643,[201],1,4.0,0.9868421052631579,0.84375,0.6744791666666666,0.004125638399273157,0.8910902738571167
1BS0A,384,643,[201],1,8.0,0.9868421052631579,0.8385416666666666,0.6640625,0.017835058271884918,0.8910902738571167
1BS0A,384,643,[201],1,16.0,0.5789473684210527,0.4635416666666667,0.3151041666666667,0.5075640082359314,0.8910902738571167
1BS0A,384,643,[201],1,32.0,0.17105263157894737,0.08333333333333333,0.0859375,1.7050756216049194,0.8910902738571167
1BYIA,224,411,[112],1,0.0,0.9772727272727273,0.8928571428571429,0.7767857142857143,0.0,0.8201952576637268
1BYIA,224,411,[112],1,0.5,0.9772727272727273,0.9017857142857143,0.7723214285714286,0.002840521978214383,0.5481873750686646
1BYIA,224,411,[112],1,1.0,0.9772727272727273,0.9017857142857143,0.7767857142857143,0.005543129984289408,0.5697959661483765
1BYIA,224,411,[112],1,2.0,0.9772727272727273,0.9107142857142857,0.7767857142857143,0.007988052442669868,0.5778659582138062
1BYIA,224,411,[112],1,4.0,0.9772727272727273,0.9196428571428571,0.7723214285714286,0.010050267912447453,0.5778881311416626
1BYIA,224,411,[112],1,8.0,1.0,0.9196428571428571,0.7678571428571429,0.01912269927561283,0.5778881311416626
1BYIA,224,411,[112],1,16.0,0.9318181818181818,0.8214285714285714,0.6607142857142857,0.1769743412733078,0.5778881311416626
1BYIA,224,411,[112],1,32.0,0.022727272727272728,0.05357142857142857,0.0625,0.9678875803947449,0.5778881311416626
1C3PA,375,716,[163],1,0.0,0.8933333333333333,0.8235294117647058,0.7013333333333334,0.0,0.963398277759552
1C3PA,375,716,[163],1,0.5,0.8933333333333333,0.8128342245989305,0.7146666666666667,0.0018503878964111209,0.8723450899124146
1C3PA,375,716,[163],1,1.0,0.8933333333333333,0.8181818181818182,0.7066666666666667,0.004599450156092644,0.8467615842819214
1C3PA,375,716,[163],1,2.0,0.8933333333333333,0.8181818181818182,0.7013333333333334,0.012612421996891499,0.8483545184135437
1C3PA,375,716,[163],1,4.0,0.8933333333333333,0.8128342245989305,0.6986666666666667,0.019487373530864716,0.848374605178833
1C3PA,375,716,[163],1,8.0,0.88,0.7807486631016043,0.696,0.043322399258613586,0.848374605178833
1C3PA,375,716,[163],1,16.0,0.72,0.5561497326203209,0.4026666666666667,0.4342852234840393,0.848374605178833
1C3PA,375,716,[163],1,32.0,0.04,0.0374331550802139,0.032,1.3734116554260254,0.848374605178833
1COJA,212,244,[109],1,0.0,0.7142857142857143,0.6037735849056604,0.49056603773584906,0.0,0.9752885103225708
1COJA,212,244,[109],1,0.5,0.7380952380952381,0.5943396226415094,0.4716981132075472,0.004698128439486027,0.6893491744995117
1COJA,212,244,[109],1,1.0,0.7380952380952381,0.5943396226415094,0.4528301886792453,0.01571042649447918,0.1312485635280609
1COJA,212,244,[109],1,2.0,0.6904761904761905,0.5566037735849056,0.45754716981132076,0.027891650795936584,0.04888276010751724
1COJA,212,244,[109],1,4.0,0.6428571428571429,0.5660377358490566,0.45754716981132076,0.03794993460178375,0.0488923154771328
1COJA,212,244,[109],1,8.0,0.42857142857142855,0.3584905660377358,0.24056603773584906,0.19310262799263,0.048912689089775085
1COJA,212,244,[109],1,16.0,0.023809523809523808,0.05660377358490566,0.07075471698113207,0.4701508581638336,0.0488923154771328
1COJA,212,244,[109],1,32.0,0.07142857142857142,0.02830188679245283,0.0330188679245283,1.1846051216125488,0.0488923154771328
1CUKA,203,165,[81],1,0.0,0.875,0.6534653465346535,0.4482758620689655,0.0,0.9842295050621033
1CUKA,203,165,[81],1,0.5,0.875,0.6633663366336634,0.4433497536945813,0.0009125477517955005,0.8861349821090698
1CUKA,203,165,[81],1,1.0,0.875,0.6435643564356436,0.4433497536945813,0.002974496688693762,0.8558378219604492
1CUKA,203,165,[81],1,2.0,0.875,0.6534653465346535,0.43842364532019706,0.006756321061402559,0.8657704591751099
1CUKA,203,165,[81],1,4.0,0.875,0.6435643564356436,0.43842364532019706,0.0126408152282238,0.8657833933830261
1CUKA,203,165,[81],1,8.0,0.875,0.6336633663366337,0.4236453201970443,0.03875986859202385,0.8657833933830261
1CUKA,203,165,[81],1,16.0,0.775,0.5643564356435643,0.3793103448275862,0.3207609951496124,0.8657833933830261
1CUKA,203,165,[81],1,32.0,0.075,0.07920792079207921,0.059113300492610835,1.2713202238082886,0.8657833933830261
1D2SA,170,117,[90],1,0.0,0.6176470588235294,0.4235294117647059,0.28823529411764703,0.0,0.9750529527664185
1D2SA,170,117,[90],1,0.5,0.6176470588235294,0.4235294117647059,0.2823529411764706,0.00828472152352333,0.7091139554977417
1D2SA,170,117,[90],1,1.0,0.6764705882352942,0.4235294117647059,0.2823529411764706,0.03854059800505638,0.1769060492515564
1D2SA,170,117,[90],1,2.0,0.6176470588235294,0.43529411764705883,0.27058823529411763,0.09861547499895096,0.09678614139556885
1D2SA,170,117,[90],1,4.0,0.6176470588235294,0.4588235294117647,0.27058823529411763,0.12672503292560577,0.09683991223573685
1D2SA,170,117,[90],1,8.0,0.6470588235294118,0.4117647058823529,0.25882352941176473,0.18926239013671875,0.09683991223573685
1D2SA,170,117,[90],1,16.0,0.35294117647058826,0.35294117647058826,0.2411764705882353,0.40490081906318665,0.09683991223573685
1D2SA,170,117,[90],1,32.0,0.0,0.0,0.0058823529411764705,0.8738710284233093,0.09683991223573685
1DCSA,311,485,[219],1,0.0,0.8064516129032258,0.7290322580645161,0.5755627009646302,0.0,0.9320513010025024
1DCSA,311,485,[219],1,0.5,0.8225806451612904,0.7354838709677419,0.5916398713826366,0.0006564838113263249,0.8812719583511353
1DCSA,311,485,[219],1,1.0,0.8225806451612904,0.7354838709677419,0.5787781350482315,0.0011636540293693542,0.8726264834403992
1DCSA,311,485,[219],1,2.0,0.8225806451612904,0.7290322580645161,0.5755627009646302,0.0017549495678395033,0.8770481944084167
1DCSA,311,485,[219],1,4.0,0.8225806451612904,0.7290322580645161,0.5819935691318328,0.0018788129091262817,0.8770807981491089
1DCSA,311,485,[219],1,8.0,0.8225806451612904,0.7290322580645161,0.5755627009646302,0.0044770389795303345,0.8770807981491089
1DCSA,311,485,[219],1,16.0,0.7096774193548387,0.5096774193548387,0.36977491961414793,0.26967447996139526,0.8770807981491089
1DCSA,311,485,[219],1,32.0,0.03225806451612903,0.04516129032258064,0.04180064308681672,1.068651795387268,0.8770807981491089
1DPGA,485,796,[113],1,0.0,0.8865979381443299,0.7479338842975206,0.5731958762886598,0.0,0.977288007736206
1DPGA,485,796,[113],1,0.5,0.8762886597938144,0.7520661157024794,0.5670103092783505,0.002597317798063159,0.7811673879623413
1DPGA,485,796,[113],1,1.0,0.9072164948453608,0.743801652892562,0.5670103092783505,0.0092359259724617,0.7038595676422119
1DPGA,485,796,[113],1,2.0,0.9072164948453608,0.7479338842975206,0.5731958762886598,0.013895625248551369,0.7227346897125244
1DPGA,485,796,[113],1,4.0,0.8969072164948454,0.7355371900826446,0.5773195876288659,0.016654955223202705,0.7228239178657532
1DPGA,485,796,[113],1,8.0,0.865979381443299,0.640495867768595,0.4247422680412371,0.37452152371406555,0.7228239178657532
1DPGA,485,796,[113],1,16.0,0.29896907216494845,0.1859504132231405,0.1154639175257732,1.3092677593231201,0.7228239178657532
1DPGA,485,796,[113],1,32.0,0.07216494845360824,0.07851239669421488,0.08453608247422681,2.1483569145202637,0.7228239178657532
1DXYA,333,476,[228],1,0.0,0.9090909090909091,0.8614457831325302,0.6996996996996997,0.0,0.8037060499191284
1DXYA,333,476,[228],1,0.5,0.8939393939393939,0.8614457831325302,0.7027027027027027,0.00032351340632885695,0.7031402587890625
1DXYA,333,476,[228],1,1.0,0.9090909090909091,0.8614457831325302,0.7027027027027027,0.0007870295667089522,0.7290377020835876
1DXYA,333,476,[228],1,2.0,0.9090909090909091,0.8614457831325302,0.7057057057057057,0.002003343543037772,0.7392971515655518
1DXYA,333,476,[228],1,4.0,0.9090909090909091,0.8674698795180723,0.7057057057057057,0.0026955902576446533,0.7394066452980042
1DXYA,333,476,[228],1,8.0,0.9090909090909091,0.8614457831325302,0.6996996996996997,0.0032293489202857018,0.7394066452980042
1DXYA,333,476,[228],1,16.0,0.8939393939393939,0.8313253012048193,0.6606606606606606,0.11922542005777359,0.7394066452980042
1DXYA,333,476,[228],1,32.0,0.4090909090909091,0.3313253012048193,0.24024024024024024,1.073695421218872,0.7394066452980042
1DYPA,271,504,[194],1,0.0,0.9074074074074074,0.7925925925925926,0.6457564575645757,0.0,0.9148665070533752
1DYPA,271,504,[194],1,0.5,0.9074074074074074,0.8074074074074075,0.6420664206642066,0.0031083456706255674,0.5658490657806396
1DYPA,271,504,[194],1,1.0,0.9074074074074074,0.837037037037037,0.6309963099630996,0.009327364154160023,0.4501640498638153
1DYPA,271,504,[194],1,2.0,0.9259259259259259,0.8148148148148148,0.6346863468634686,0.018963368609547615,0.4579261541366577
1DYPA,271,504,[194],1,4.0,0.9259259259259259,0.8074074074074075,0.6383763837638377,0.02547551319003105,0.4579405188560486
1DYPA,271,504,[194],1,8.0,0.9074074074074074,0.762962962962963,0.5793357933579336,0.1015830859541893,0.4579405188560486
1DYPA,271,504,[194],1,16.0,0.7592592592592593,0.5555555555555556,0.43911439114391143,0.4450122117996216,0.4579405188560486
1DYPA,271,504,[194],1,32.0,0.018518518518518517,0.007407407407407408,0.01845018450184502,1.1618900299072266,0.4579405188560486
1E0CA,271,495,[85],1,0.0,0.9259259259259259,0.7925925925925926,0.6678966789667896,0.0,0.7835277915000916
1E0CA,271,495,[85],1,0.5,0.9074074074074074,0.7925925925925926,0.6568265682656826,0.00015590210387017578,0.6490992307662964
1E0CA,271,495,[85],1,1.0,0.9074074074074074,0.7925925925925926,0.6642066420664207,0.0003915689012501389,0.6853034496307373
1E0CA,271,495,[85],1,2.0,0.9074074074074074,0.7925925925925926,0.6642066420664207,0.000735987036023289,0.6983710527420044
1E0CA,271,495,[85],1,4.0,0.9074074074074074,0.7925925925925926,0.6678966789667896,0.001016878755763173,0.6987290382385254
1E0CA,271,495,[85],1,8.0,0.9074074074074074,0.7851851851851852,0.6752767527675276,0.0019820930901914835,0.6987291574478149
1E0CA,271,495,[85],1,16.0,0.8518518518518519,0.7555555555555555,0.6568265682656826,0.11176072061061859,0.6987291574478149
1E0CA,271,495,[85],1,32.0,0.4444444444444444,0.31851851851851853,0.23616236162361623,0.6907058358192444,0.6987291574478149
1E5KA,201,284,[96],1,0.0,0.85,0.83,0.6915422885572139,0.0,0.9825016260147095
1E5KA,201,284,[96],1,0.5,0.85,0.83,0.6965174129353234,0.001758679049089551,0.8498522639274597
1E5KA,201,284,[96],1,1.0,0.85,0.82,0.7014925373134329,0.004058444406837225,0.7763599157333374
1E5KA,201,284,[96],1,2.0,0.85,0.82,0.6965174129353234,0.005999612621963024,0.7820038795471191
1E5KA,201,284,[96],1,4.0,0.85,0.81,0.7014925373134329,0.007527299225330353,0.7820239067077637
1E5KA,201,284,[96],1,8.0,0.825,0.81,0.681592039800995,0.014586149714887142,0.7820239067077637
1E5KA,201,284,[96],1,16.0,0.775,0.56,0.43283582089552236,0.24678157269954681,0.7820239067077637
1E5KA,201,284,[96],1,32.0,0.075,0.04,0.029850746268656716,1.122581958770752,0.7820239067077637
1E6UA,321,556,[101],1,0.0,0.9375,0.89375,0.7570093457943925,0.0,0.8633826971054077
1E6UA,321,556,[101],1,0.5,0.921875,0.8875,0.7601246105919003,0.00038783714990131557,0.847266674041748
1E6UA,321,556,[101],1,1.0,0.921875,0.89375,0.7601246105919003,0.000936218595597893,0.8846575617790222
1E6UA,321,556,[101],1,2.0,0.921875,0.89375,0.7570093457943925,0.0015950817614793777,0.8870664238929749
1E6UA,321,556,[101],1,4.0,0.921875,0.88125,0.7570093457943925,0.0018630324630066752,0.887083888053894
1E6UA,321,556,[101],1,8.0,0.921875,0.88125,0.7538940809968847,0.004288479220122099,0.887083888053894
1E6UA,321,556,[101],1,16.0,0.8125,0.7375,0.5451713395638629,0.4711040258407593,0.887083888053894
1E6UA,321,556,[101],1,32.0,0.171875,0.125,0.0778816199376947,1.5905758142471313,0.887083888053894
1EAJA,126,188,[105],1,0.0,1.0,0.8412698412698413,0.6984126984126984,0.0,0.957913875579834
1EAJA,126,188,[105],1,0.5,1.0,0.873015873015873,0.7142857142857143,0.004172763787209988,0.8824259638786316
1EAJA,126,188,[105],1,1.0,1.0,0.873015873015873,0.7380952380952381,0.008706322871148586,0.8502940535545349
1EAJA,126,188,[105],1,2.0,1.0,0.873015873015873,0.7301587301587301,0.013841135427355766,0.8475840091705322
1EAJA,126,188,[105],1,4.0,1.0,0.8571428571428571,0.7301587301587301,0.019149109721183777,0.8489736318588257
1EAJA,126,188,[105],1,8.0,1.0,0.8571428571428571,0.7301587301587301,0.0332796536386013,0.84897381067276
1EAJA,126,188,[105],1,16.0,0.96,0.7936507936507936,0.5555555555555556,0.18444044888019562,0.84897381067276
1EAJA,126,188,[105],1,32.0,0.04,0.047619047619047616,0.07142857142857142,0.6830757260322571,0.84897381067276
1EKEA,230,327,[6],1,0.0,0.9130434782608695,0.7913043478260869,0.6304347826086957,0.0,0.9590470194816589
1EKEA,230,327,[6],1,0.5,0.9347826086956522,0.7913043478260869,0.6304347826086957,0.0007395469583570957,0.7773904800415039
1EKEA,230,327,[6],1,1.0,0.9347826086956522,0.782608695652174,0.6391304347826087,0.0036443404387682676,0.6159356832504272
1EKEA,230,327,[6],1,2.0,0.9347826086956522,0.808695652173913,0.6478260869565218,0.005720066837966442,0.5880703926086426
1EKEA,230,327,[6],1,4.0,0.9347826086956522,0.808695652173913,0.6565217391304348,0.007559279445558786,0.5885559320449829
1EKEA,230,327,[6],1,8.0,0.8695652173913043,0.7478260869565218,0.6043478260869565,0.032862283289432526,0.588556170463562
1EKEA,230,327,[6],1,16.0,0.5,0.34782608695652173,0.26521739130434785,0.5694844126701355,0.588556170463562
1EKEA,230,327,[6],1,32.0,0.15217391304347827,0.06956521739130435,0.06086956521739131,1.3523074388504028,0.588556170463562
